Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,2
2020-02-25,4
2020-02-26,4
2020-02-27,6
2020-02-28,6
2020-02-29,5
2020-03-01,5
2020-03-02,4
2020-03-03,10
2020-03-04,13
2020-03-05,14
2020-03-06,14
2020-03-07,14
2020-03-08,14
2020-03-09,9
2020-03-10,9
2020-03-11,9
2020-03-12,9
2020-03-13,10
2020-03-14,11
2020-03-15,13
2020-03-16,15
2020-03-17,21
2020-03-18,26
2020-03-19,35
2020-03-20,35
2020-03-21,39
2020-03-22,38
2020-03-23,49
2020-03-24,67
2020-03-25,82
2020-03-26,86
2020-03-27,108
2020-03-28,129
2020-03-29,144
2020-03-30,150
2020-03-31,157
2020-04-01,175
2020-04-02,173
2020-04-03,194
2020-04-04,214
2020-04-05,235
2020-04-06,268
2020-04-07,302
2020-04-08,345
2020-04-09,345
2020-04-10,372
2020-04-11,434
2020-04-12,486
2020-04-13,599
2020-04-14,679
2020-04-15,775
2020-04-16,839
2020-04-17,887
2020-04-18,998
2020-04-19,1026
2020-04-20,1165
2020-04-21,1262
2020-04-22,1368
2020-04-23,1400
2020-04-24,1455
2020-04-25,1566
2020-04-26,1655
