Date,New Daily Coronavirus Cases+Cured
2020-02-15,
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,1.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,1.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,11.0
2020-03-19,0.0
2020-03-20,0.0
2020-03-21,0.0
2020-03-22,0.0
2020-03-23,0.0
2020-03-24,5.0
2020-03-25,3.0
2020-03-26,0.0
2020-03-27,2.0
2020-03-28,6.0
2020-03-29,0.0
2020-03-30,47.0
2020-03-31,0.0
2020-04-01,18.0
2020-04-02,31.0
2020-04-03,1.0
2020-04-04,5.0
2020-04-05,80.0
2020-04-06,48.0
2020-04-07,170.0
2020-04-08,38.0
2020-04-09,105.0
2020-04-10,155.0
2020-04-11,35.0
2020-04-12,266.0
2020-04-13,67.0
2020-04-14,283.0
2020-04-15,68.0
2020-04-16,199.0
2020-04-17,120.0
2020-04-18,67.0
2020-04-19,36.0
2020-04-20,102.0
2020-04-21,103.0
2020-04-22,83.0
2020-04-23,181.0
2020-04-24,418.0
2020-04-25,111.0
2020-04-26,70.0
2020-04-27,93.0
2020-04-28,204.0
2020-04-29,192.0
2020-04-30,680.0
2020-05-01,246.0
2020-05-02,402.0
2020-05-03,361.0
2020-05-04,521.0
2020-05-05,166.0
2020-05-06,480.0
2020-05-07,183.0
2020-05-08,1066.0
2020-05-09,279.0
2020-05-10,254.0
2020-05-11,149.0
2020-05-12,343.0
2020-05-13,344.0
2020-05-14,796.0
2020-05-15,460.0
2020-05-16,725.0
2020-05-17,461.0
2020-05-18,581.0
2020-05-19,567.0
2020-05-20,612.0
2020-05-21,1054.0
2020-05-22,1046.0
