Date,Total Coronavirus Deaths
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,2
2020-03-19,2
2020-03-20,3
2020-03-21,3
2020-03-22,5
2020-03-23,6
2020-03-24,7
2020-03-25,8
2020-03-26,9
2020-03-27,11
2020-03-28,12
2020-03-29,14
2020-03-30,21
2020-03-31,26
2020-04-01,27
2020-04-02,34
2020-04-03,40
2020-04-04,41
2020-04-05,47
2020-04-06,53
2020-04-07,57
2020-04-08,61
2020-04-09,65
2020-04-10,66
2020-04-11,86
2020-04-12,91
2020-04-13,93
2020-04-14,96
2020-04-15,111
2020-04-16,128
2020-04-17,135
2020-04-18,143
2020-04-19,168
2020-04-20,176
2020-04-21,201
2020-04-22,212
2020-04-23,235
2020-04-24,253
2020-04-25,269
2020-04-26,281
2020-04-27,292
2020-04-28,312
2020-04-29,343
2020-04-30,361
2020-05-01,417
2020-05-02,437
2020-05-03,457
2020-05-04,476
2020-05-05,514
2020-05-06,544
2020-05-07,585
2020-05-08,599
2020-05-09,636
2020-05-10,659
2020-05-11,667
2020-05-12,724
2020-05-13,761
2020-05-14,770
2020-05-15,803
2020-05-16,834
2020-05-17,873
2020-05-18,903
2020-05-19,939
2020-05-20,985
2020-05-21,1017
2020-05-22,1067
