Date,Novel Coronavirus Daily Deaths
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,2.0
2020-03-19,0.0
2020-03-20,1.0
2020-03-21,0.0
2020-03-22,2.0
2020-03-23,1.0
2020-03-24,1.0
2020-03-25,1.0
2020-03-26,1.0
2020-03-27,2.0
2020-03-28,1.0
2020-03-29,2.0
2020-03-30,7.0
2020-03-31,5.0
2020-04-01,1.0
2020-04-02,7.0
2020-04-03,6.0
2020-04-04,1.0
2020-04-05,6.0
2020-04-06,6.0
2020-04-07,4.0
2020-04-08,4.0
2020-04-09,4.0
2020-04-10,1.0
2020-04-11,20.0
2020-04-12,5.0
2020-04-13,2.0
2020-04-14,3.0
2020-04-15,15.0
2020-04-16,17.0
2020-04-17,7.0
2020-04-18,8.0
2020-04-19,25.0
2020-04-20,8.0
2020-04-21,25.0
2020-04-22,11.0
2020-04-23,23.0
2020-04-24,18.0
2020-04-25,16.0
2020-04-26,12.0
2020-04-27,11.0
2020-04-28,20.0
2020-04-29,31.0
2020-04-30,18.0
2020-05-01,56.0
2020-05-02,20.0
2020-05-03,20.0
2020-05-04,19.0
2020-05-05,38.0
2020-05-06,30.0
2020-05-07,41.0
2020-05-08,14.0
2020-05-09,37.0
2020-05-10,23.0
2020-05-11,8.0
2020-05-12,57.0
2020-05-13,37.0
2020-05-14,9.0
2020-05-15,33.0
2020-05-16,31.0
2020-05-17,39.0
2020-05-18,30.0
2020-05-19,36.0
2020-05-20,46.0
2020-05-21,32.0
2020-05-22,50.0
2020-05-23,34.0
2020-05-24,32.0
2020-05-25,34.0
2020-05-26,30.0
2020-05-27,28.0
2020-05-28,35.0
2020-05-29,57.0
