Date,New Daily Coronavirus Cases+Cured
2020-02-15,
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,1.0
2020-03-20,0.0
2020-03-21,0.0
2020-03-22,0.0
2020-03-23,0.0
2020-03-24,0.0
2020-03-25,1.0
2020-03-26,0.0
2020-03-27,0.0
2020-03-28,2.0
2020-03-29,0.0
2020-03-30,5.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,1.0
2020-04-04,3.0
2020-04-05,0.0
2020-04-06,1.0
2020-04-07,0.0
2020-04-08,2.0
2020-04-09,0.0
2020-04-10,1.0
2020-04-11,6.0
2020-04-12,6.0
2020-04-13,32.0
2020-04-14,11.0
2020-04-15,3.0
2020-04-16,0.0
2020-04-17,23.0
2020-04-18,24.0
2020-04-19,18.0
2020-04-20,25.0
2020-04-21,39.0
2020-04-22,27.0
2020-04-23,24.0
2020-04-24,16.0
2020-04-25,48.0
2020-04-26,19.0
2020-04-27,31.0
2020-04-28,86.0
2020-04-29,29.0
2020-04-30,43.0
2020-05-01,49.0
2020-05-02,46.0
2020-05-03,19.0
2020-05-04,0.0
2020-05-05,85.0
2020-05-06,97.0
2020-05-07,36.0
2020-05-08,27.0
2020-05-09,0.0
2020-05-10,3615.0
2020-05-11,186.0
2020-05-12,0.0
2020-05-13,1334.0
2020-05-14,46.0
2020-05-15,13.0
2020-05-16,0.0
2020-05-17,0.0
2020-05-18,1.0
2020-05-19,113.0
2020-05-20,0.0
2020-05-21,51.0
2020-05-22,30.0
