Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,1
2020-03-11,14
2020-03-12,14
2020-03-13,27
2020-03-14,43
2020-03-15,55
2020-03-16,69
2020-03-17,69
2020-03-18,109
2020-03-19,137
2020-03-20,200
2020-03-21,245
2020-03-22,313
2020-03-23,345
2020-03-24,443
2020-03-25,558
2020-03-26,674
2020-03-27,786
2020-03-28,901
2020-03-29,989
2020-03-30,1075
2020-03-31,1181
2020-04-01,1317
2020-04-02,1475
2020-04-03,1673
2020-04-04,1801
2020-04-05,1801
2020-04-06,2100
2020-04-07,2100
2020-04-08,2528
2020-04-09,2752
2020-04-10,2974
2020-04-11,3234
2020-04-12,3400
2020-04-13,3472
2020-04-14,3574
2020-04-15,3751
2020-04-16,3751
2020-04-17,4016
2020-04-18,4210
2020-04-19,4273
2020-04-20,4467
2020-04-21,4658
2020-04-22,4821
2020-04-23,4992
2020-04-24,5166
2020-04-25,5338
2020-04-26,5538
