Date,Total Coronavirus Deaths
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,1
2020-03-12,1
2020-03-13,1
2020-03-14,1
2020-03-15,1
2020-03-16,1
2020-03-17,1
2020-03-18,1
2020-03-19,1
2020-03-20,1
2020-03-21,3
2020-03-22,3
2020-03-23,6
2020-03-24,6
2020-03-25,8
2020-03-26,9
2020-03-27,14
2020-03-28,17
2020-03-29,24
2020-03-30,27
2020-03-31,30
2020-04-01,32
2020-04-02,37
2020-04-03,41
2020-04-04,46
2020-04-05,46
2020-04-06,55
2020-04-07,55
2020-04-08,63
2020-04-09,66
2020-04-10,74
2020-04-11,79
2020-04-12,87
2020-04-13,94
2020-04-14,95
2020-04-15,103
2020-04-16,103
2020-04-17,109
2020-04-18,116
2020-04-19,120
2020-04-20,126
2020-04-21,136
2020-04-22,141
2020-04-23,144
2020-04-24,146
2020-04-25,154
2020-04-26,159
