Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,13.0
2020-03-12,0.0
2020-03-13,13.0
2020-03-14,16.0
2020-03-15,12.0
2020-03-16,14.0
2020-03-17,0.0
2020-03-18,40.0
2020-03-19,28.0
2020-03-20,63.0
2020-03-21,45.0
2020-03-22,68.0
2020-03-23,32.0
2020-03-24,98.0
2020-03-25,115.0
2020-03-26,116.0
2020-03-27,112.0
2020-03-28,115.0
2020-03-29,88.0
2020-03-30,86.0
2020-03-31,106.0
2020-04-01,136.0
2020-04-02,158.0
2020-04-03,198.0
2020-04-04,128.0
2020-04-05,0.0
2020-04-06,299.0
2020-04-07,0.0
2020-04-08,428.0
2020-04-09,224.0
2020-04-10,222.0
2020-04-11,260.0
2020-04-12,166.0
2020-04-13,72.0
2020-04-14,102.0
2020-04-15,177.0
2020-04-16,0.0
2020-04-17,265.0
2020-04-18,194.0
2020-04-19,63.0
2020-04-20,194.0
2020-04-21,191.0
2020-04-22,163.0
2020-04-23,171.0
2020-04-24,174.0
2020-04-25,172.0
2020-04-26,200.0
2020-04-27,241.0
2020-04-28,242.0
2020-04-29,179.0
2020-04-30,178.0
2020-05-01,154.0
2020-05-02,188.0
2020-05-03,370.0
2020-05-04,107.0
2020-05-05,190.0
2020-05-06,136.0
2020-05-07,208.0
2020-05-08,137.0
2020-05-09,202.0
2020-05-10,212.0
2020-05-11,166.0
2020-05-12,168.0
2020-05-13,167.0
