Date,Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,1
2020-03-11,13
2020-03-12,13
2020-03-13,26
2020-03-14,42
2020-03-15,54
2020-03-16,68
2020-03-17,68
2020-03-18,108
2020-03-19,135
2020-03-20,198
2020-03-21,241
2020-03-22,309
2020-03-23,338
2020-03-24,436
2020-03-25,548
2020-03-26,663
2020-03-27,770
2020-03-28,880
2020-03-29,961
2020-03-30,1039
2020-03-31,1142
2020-04-01,1276
2020-04-02,1429
2020-04-03,1622
2020-04-04,1742
2020-04-05,1742
2020-04-06,2031
2020-04-07,2031
2020-04-08,2449
2020-04-09,2670
2020-04-10,2883
2020-04-11,3132
2020-04-12,3284
2020-04-13,3317
2020-04-14,3407
2020-04-15,3573
2020-04-16,3573
2020-04-17,3809
2020-04-18,3972
2020-04-19,4013
2020-04-20,4176
2020-04-21,4318
2020-04-22,4449
2020-04-23,4593
2020-04-24,4749
2020-04-25,4865
2020-04-26,5041
