Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,1.0
2020-03-11,3.0
2020-03-12,1.0
2020-03-13,0.0
2020-03-14,1.0
2020-03-15,1.0
2020-03-16,0.0
2020-03-17,1.0
2020-03-18,2.0
2020-03-19,2.0
2020-03-20,5.0
2020-03-21,4.0
2020-03-22,0.0
2020-03-23,0.0
2020-03-24,5.0
2020-03-25,10.0
2020-03-26,4.0
2020-03-27,11.0
2020-03-28,4.0
2020-03-29,3.0
2020-03-30,5.0
2020-03-31,1.0
2020-04-01,4.0
2020-04-02,8.0
2020-04-03,15.0
2020-04-04,4.0
2020-04-05,8.0
2020-04-06,9.0
2020-04-07,2.0
2020-04-08,4.0
2020-04-09,5.0
2020-04-10,5.0
2020-04-11,4.0
2020-04-12,1.0
2020-04-13,13.0
2020-04-14,12.0
2020-04-15,2.0
2020-04-16,13.0
2020-04-17,25.0
2020-04-18,3.0
2020-04-19,4.0
2020-04-20,2.0
2020-04-21,0.0
2020-04-22,5.0
2020-04-23,0.0
2020-04-24,7.0
2020-04-25,3.0
2020-04-26,5.0
2020-04-27,0.0
2020-04-28,2.0
2020-04-29,9.0
2020-04-30,10.0
2020-05-01,17.0
2020-05-02,67.0
2020-05-03,37.0
2020-05-04,26.0
2020-05-05,35.0
2020-05-06,9.0
2020-05-07,22.0
2020-05-08,101.0
2020-05-09,126.0
2020-05-10,24.0
2020-05-11,11.0
2020-05-12,13.0
2020-05-13,3.0
