Date,Total Coronavirus Deaths
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,1
2020-03-20,4
2020-03-21,5
2020-03-22,5
2020-03-23,5
2020-03-24,7
2020-03-25,9
2020-03-26,9
2020-03-27,11
2020-03-28,16
2020-03-29,18
2020-03-30,24
2020-03-31,30
2020-04-01,38
2020-04-02,55
2020-04-03,61
2020-04-04,73
2020-04-05,83
2020-04-06,92
2020-04-07,107
2020-04-08,121
2020-04-09,138
2020-04-10,169
2020-04-11,181
2020-04-12,193
2020-04-13,216
2020-04-14,230
2020-04-15,254
2020-04-16,274
2020-04-17,300
2020-04-18,348
2020-04-19,400
2020-04-20,445
2020-04-21,484
2020-04-22,530
2020-04-23,572
2020-04-24,634
2020-04-25,700
2020-04-26,728
