Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,5.0
2020-03-08,1.0
2020-03-09,2.0
2020-03-10,2.0
2020-03-11,6.0
2020-03-12,5.0
2020-03-13,16.0
2020-03-14,5.0
2020-03-15,28.0
2020-03-16,15.0
2020-03-17,31.0
2020-03-18,28.0
2020-03-19,89.0
2020-03-20,29.0
2020-03-21,55.0
2020-03-22,45.0
2020-03-23,32.0
2020-03-24,21.0
2020-03-25,64.0
2020-03-26,100.0
2020-03-27,55.0
2020-03-28,36.0
2020-03-29,181.0
2020-03-30,98.0
2020-03-31,115.0
2020-04-01,258.0
2020-04-02,91.0
2020-04-03,181.0
2020-04-04,151.0
2020-04-05,535.0
2020-04-06,280.0
2020-04-07,393.0
2020-04-08,1388.0
2020-04-09,914.0
2020-04-10,641.0
2020-04-11,951.0
2020-04-12,671.0
2020-04-13,2265.0
2020-04-14,519.0
2020-04-15,1172.0
2020-04-16,1016.0
2020-04-17,998.0
2020-04-18,931.0
2020-04-19,1208.0
2020-04-20,697.0
2020-04-21,1512.0
2020-04-22,1413.0
2020-04-23,1664.0
2020-04-24,734.0
2020-04-25,3683.0
2020-04-26,2186.0
2020-04-27,1182.0
2020-04-28,2491.0
2020-04-29,2741.0
2020-04-30,3045.0
2020-05-01,3483.0
2020-05-02,2075.0
2020-05-03,3394.0
2020-05-04,1444.0
2020-05-05,3817.0
2020-05-06,3628.0
2020-05-07,3709.0
2020-05-08,3321.0
2020-05-09,3168.0
2020-05-10,2292.0
2020-05-11,1515.0
2020-05-12,3237.0
2020-05-13,4247.0
2020-05-14,4298.0
2020-05-15,3891.0
2020-05-16,4046.0
2020-05-17,3732.0
2020-05-18,2660.0
2020-05-19,4550.0
2020-05-20,4537.0
2020-05-21,4749.0
2020-05-22,2929.0
2020-05-23,4056.0
2020-05-24,4205.0
2020-05-25,4020.0
2020-05-26,5772.0
2020-05-27,6154.0
2020-05-28,5874.0
2020-05-29,6506.0
2020-05-30,7386.0
2020-05-31,8805.0
2020-06-01,5563.0
2020-06-02,4845.0
2020-06-03,4030.0
2020-06-04,4284.0
2020-06-05,4202.0
2020-06-06,4358.0
2020-06-07,4757.0
2020-06-08,3181.0
2020-06-09,4040.0
2020-06-10,5087.0
2020-06-11,5965.0
2020-06-12,5961.0
2020-06-13,4383.0
2020-06-14,4604.0
2020-06-15,3256.0
2020-06-16,4164.0
2020-06-17,3752.0
2020-06-18,3480.0
2020-06-19,3537.0
2020-06-20,3413.0
2020-06-21,3598.0
2020-06-22,2511.0
2020-06-23,3363.0
2020-06-24,3879.0
2020-06-25,3913.0
2020-06-26,3762.0
2020-06-27,3625.0
