Date,Total Coronavirus Cases
2020-02-15,3
2020-02-16,3
2020-02-17,3
2020-02-18,3
2020-02-19,3
2020-02-20,3
2020-02-21,3
2020-02-22,3
2020-02-23,3
2020-02-24,3
2020-02-25,3
2020-02-26,3
2020-02-27,3
2020-02-28,3
2020-02-29,3
2020-03-01,3
2020-03-02,3
2020-03-03,3
2020-03-04,3
2020-03-05,3
2020-03-06,5
2020-03-07,6
2020-03-08,10
2020-03-09,24
2020-03-10,33
2020-03-11,49
2020-03-12,52
2020-03-13,64
2020-03-14,111
2020-03-15,140
2020-03-16,142
2020-03-17,187
2020-03-18,202
2020-03-19,217
2020-03-20,230
2020-03-21,307
2020-03-22,380
2020-03-23,462
2020-03-24,552
2020-03-25,636
2020-03-26,707
2020-03-27,803
2020-03-28,1075
2020-03-29,1418
2020-03-30,1546
2020-03-31,2084
2020-04-01,2311
2020-04-02,2633
2020-04-03,3018
2020-04-04,3094
2020-04-05,3246
2020-04-06,3660
2020-04-07,3764
2020-04-08,3870
2020-04-09,4076
2020-04-10,4195
2020-04-11,4428
2020-04-12,4648
2020-04-13,4932
2020-04-14,5223
2020-04-15,5453
2020-04-16,5660
2020-04-17,5878
2020-04-18,6087
2020-04-19,6259
2020-04-20,6459
2020-04-21,6599
2020-04-22,6710
2020-04-23,6981
2020-04-24,7192
2020-04-25,7294
2020-04-26,7579
2020-04-27,7777
2020-04-28,7958
2020-04-29,8212
2020-04-30,8488
2020-05-01,8772
2020-05-02,8928
2020-05-03,9223
2020-05-04,9485
2020-05-05,9684
2020-05-06,10004
2020-05-07,10343
2020-05-08,10463
2020-05-09,10610
2020-05-10,10794
2020-05-11,11086
2020-05-12,11350
2020-05-13,11618
2020-05-14,11876
2020-05-15,12091
2020-05-16,12305
2020-05-17,12513
2020-05-18,12718
2020-05-19,12942
2020-05-20,13221
2020-05-21,13434
2020-05-22,13597
2020-05-23,13777
2020-05-24,14035
2020-05-25,14319
2020-05-26,14669
2020-05-27,15049
2020-05-28,15588
2020-05-29,16634
2020-05-30,17224
2020-05-31,18086
2020-06-01,18638
2020-06-02,18997
2020-06-03,19748
2020-06-04,20382
2020-06-05,20626
2020-06-06,21340
2020-06-07,21895
2020-06-08,22474
2020-06-09,22992
2020-06-10,23732
2020-06-11,24175
2020-06-12,24787
2020-06-13,25392
2020-06-14,25930
2020-06-15,26420
2020-06-16,26781
2020-06-17,27238
2020-06-18,27799
2020-06-19,28459
2020-06-20,29400
2020-06-21,30052
2020-06-22,30682
2020-06-23,31825
2020-06-24,32295
2020-06-25,33069
2020-06-26,34073
2020-06-27,34803
