Date,Total Coronavirus Deaths
2020-02-15,1
2020-02-16,1
2020-02-17,1
2020-02-18,1
2020-02-19,1
2020-02-20,1
2020-02-21,1
2020-02-22,1
2020-02-23,1
2020-02-24,1
2020-02-25,1
2020-02-26,1
2020-02-27,1
2020-02-28,1
2020-02-29,1
2020-03-01,1
2020-03-02,1
2020-03-03,1
2020-03-04,1
2020-03-05,1
2020-03-06,1
2020-03-07,1
2020-03-08,1
2020-03-09,1
2020-03-10,1
2020-03-11,2
2020-03-12,5
2020-03-13,5
2020-03-14,8
2020-03-15,12
2020-03-16,12
2020-03-17,14
2020-03-18,17
2020-03-19,17
2020-03-20,18
2020-03-21,19
2020-03-22,25
2020-03-23,33
2020-03-24,35
2020-03-25,38
2020-03-26,45
2020-03-27,54
2020-03-28,68
2020-03-29,71
2020-03-30,78
2020-03-31,88
2020-04-01,96
2020-04-02,107
2020-04-03,136
2020-04-04,144
2020-04-05,152
2020-04-06,163
2020-04-07,177
2020-04-08,182
2020-04-09,203
2020-04-10,221
2020-04-11,247
2020-04-12,297
2020-04-13,315
2020-04-14,335
2020-04-15,349
2020-04-16,362
2020-04-17,387
2020-04-18,397
2020-04-19,409
2020-04-20,428
2020-04-21,437
2020-04-22,446
2020-04-23,462
2020-04-24,477
2020-04-25,494
2020-04-26,501
2020-04-27,511
2020-04-28,530
2020-04-29,558
2020-04-30,568
2020-05-01,579
2020-05-02,603
2020-05-03,607
2020-05-04,623
2020-05-05,637
2020-05-06,658
2020-05-07,685
2020-05-08,696
2020-05-09,704
2020-05-10,719
2020-05-11,726
2020-05-12,751
2020-05-13,772
