Date,Novel Coronavirus Daily Deaths
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,1.0
2020-03-14,1.0
2020-03-15,0.0
2020-03-16,1.0
2020-03-17,1.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,0.0
2020-03-21,0.0
2020-03-22,2.0
2020-03-23,1.0
2020-03-24,2.0
2020-03-25,4.0
2020-03-26,2.0
2020-03-27,0.0
2020-03-28,2.0
2020-03-29,4.0
2020-03-30,9.0
2020-03-31,2.0
2020-04-01,10.0
2020-04-02,14.0
2020-04-03,14.0
2020-04-04,8.0
2020-04-05,15.0
2020-04-06,13.0
2020-04-07,22.0
2020-04-08,30.0
2020-04-09,15.0
2020-04-10,7.0
2020-04-11,27.0
2020-04-12,24.0
2020-04-13,13.0
2020-04-14,18.0
2020-04-15,23.0
2020-04-16,28.0
2020-04-17,18.0
2020-04-18,15.0
2020-04-19,13.0
2020-04-20,20.0
2020-04-21,21.0
2020-04-22,25.0
2020-04-23,28.0
2020-04-24,40.0
2020-04-25,30.0
2020-04-26,11.0
2020-04-27,27.0
2020-04-28,34.0
2020-04-29,28.0
2020-04-30,20.0
2020-05-01,7.0
2020-05-02,13.0
2020-05-03,14.0
2020-05-04,20.0
2020-05-05,18.0
2020-05-06,17.0
2020-05-07,22.0
2020-05-08,21.0
2020-05-09,9.0
