Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,1
2020-03-01,3
2020-03-02,7
2020-03-03,8
2020-03-04,8
2020-03-05,8
2020-03-06,11
2020-03-07,12
2020-03-08,15
2020-03-09,18
2020-03-10,24
2020-03-11,262
2020-03-12,262
2020-03-13,320
2020-03-14,337
2020-03-15,401
2020-03-16,439
2020-03-17,442
2020-03-18,452
2020-03-19,460
2020-03-20,470
2020-03-21,481
2020-03-22,494
2020-03-23,501
2020-03-24,526
2020-03-25,537
2020-03-26,549
2020-03-27,562
2020-03-28,590
2020-03-29,634
2020-03-30,693
2020-03-31,781
2020-04-01,835
2020-04-02,949
2020-04-03,1075
2020-04-04,1325
2020-04-05,1604
2020-04-06,1832
2020-04-07,2057
2020-04-08,2210
2020-04-09,2376
2020-04-10,2512
2020-04-11,2728
2020-04-12,2979
2020-04-13,3231
2020-04-14,3428
2020-04-15,3711
2020-04-16,4103
2020-04-17,4663
2020-04-18,5008
2020-04-19,5448
2020-04-20,6015
2020-04-21,6533
2020-04-22,7141
2020-04-23,7764
2020-04-24,8525
2020-04-25,9358
2020-04-26,10287
2020-04-27,11244
2020-04-28,11921
2020-04-29,12564
2020-04-30,13409
2020-05-01,14096
2020-05-02,14872
2020-05-03,15551
2020-05-04,16191
2020-05-05,17142
2020-05-06,17972
2020-05-07,18890
2020-05-08,20201
2020-05-09,21331
2020-05-10,22520
2020-05-11,23623
2020-05-12,25149
2020-05-13,26539
2020-05-14,28272
2020-05-15,29425
2020-05-16,30972
2020-05-17,32604
2020-05-18,33969
2020-05-19,35606
2020-05-20,37097
2020-05-21,38651
2020-05-22,40481
2020-05-23,42213
2020-05-24,43714
2020-05-25,45465
2020-05-26,47207
2020-05-27,48947
2020-05-28,50914
2020-05-29,52907
2020-05-30,55262
2020-05-31,56910
2020-06-01,58433
2020-06-02,60259
2020-06-03,62160
2020-06-04,63741
2020-06-05,65495
2020-06-06,67195
2020-06-07,68790
2020-06-08,70158
2020-06-09,71879
2020-06-10,73595
2020-06-11,75071
2020-06-12,76588
2020-06-13,78416
2020-06-14,79602
2020-06-15,80876
2020-06-16,82077
2020-06-17,83174
2020-06-18,84441
2020-06-19,85462
2020-06-20,86488
2020-06-21,87369
2020-06-22,88403
2020-06-23,89579
2020-06-24,90778
2020-06-25,91838
2020-06-26,92784
2020-06-27,93663
