Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,2.0
2020-03-02,4.0
2020-03-03,1.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,3.0
2020-03-07,1.0
2020-03-08,3.0
2020-03-09,3.0
2020-03-10,6.0
2020-03-11,238.0
2020-03-12,0.0
2020-03-13,58.0
2020-03-14,17.0
2020-03-15,64.0
2020-03-16,38.0
2020-03-17,3.0
2020-03-18,10.0
2020-03-19,8.0
2020-03-20,10.0
2020-03-21,11.0
2020-03-22,13.0
2020-03-23,7.0
2020-03-24,25.0
2020-03-25,11.0
2020-03-26,12.0
2020-03-27,13.0
2020-03-28,28.0
2020-03-29,44.0
2020-03-30,59.0
2020-03-31,88.0
2020-04-01,54.0
2020-04-02,114.0
2020-04-03,126.0
2020-04-04,250.0
2020-04-05,279.0
2020-04-06,228.0
2020-04-07,225.0
2020-04-08,153.0
2020-04-09,166.0
2020-04-10,136.0
2020-04-11,216.0
2020-04-12,251.0
2020-04-13,252.0
2020-04-14,197.0
2020-04-15,283.0
2020-04-16,392.0
2020-04-17,560.0
2020-04-18,345.0
2020-04-19,440.0
2020-04-20,567.0
2020-04-21,518.0
2020-04-22,608.0
2020-04-23,623.0
2020-04-24,761.0
2020-04-25,833.0
2020-04-26,929.0
2020-04-27,957.0
2020-04-28,677.0
2020-04-29,643.0
2020-04-30,845.0
2020-05-01,687.0
2020-05-02,776.0
2020-05-03,679.0
2020-05-04,640.0
2020-05-05,951.0
2020-05-06,830.0
2020-05-07,918.0
2020-05-08,1311.0
2020-05-09,1130.0
