Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,1
2020-03-12,4
2020-03-13,5
2020-03-14,6
2020-03-15,7
2020-03-16,9
2020-03-17,9
2020-03-18,14
2020-03-19,28
2020-03-20,38
2020-03-21,47
2020-03-22,64
2020-03-23,71
2020-03-24,94
2020-03-25,111
2020-03-26,135
2020-03-27,145
2020-03-28,183
2020-03-29,183
2020-03-30,224
2020-03-31,247
2020-04-01,281
2020-04-02,308
2020-04-03,321
2020-04-04,334
2020-04-05,344
2020-04-06,349
2020-04-07,358
2020-04-08,362
2020-04-09,362
2020-04-10,382
2020-04-11,388
2020-04-12,389
2020-04-13,391
2020-04-14,391
2020-04-15,391
2020-04-16,394
2020-04-17,402
2020-04-18,407
2020-04-19,408
2020-04-20,408
2020-04-21,410
2020-04-22,410
2020-04-23,412
2020-04-24,412
2020-04-25,417
2020-04-26,417
2020-04-27,418
2020-04-28,418
2020-04-29,420
2020-04-30,420
2020-05-01,422
2020-05-02,423
2020-05-03,423
2020-05-04,424
2020-05-05,424
2020-05-06,425
2020-05-07,426
2020-05-08,426
2020-05-09,431
2020-05-10,436
2020-05-11,436
2020-05-12,437
2020-05-13,439
2020-05-14,440
2020-05-15,441
2020-05-16,443
2020-05-17,443
2020-05-18,446
2020-05-19,446
2020-05-20,447
2020-05-21,449
2020-05-22,449
2020-05-23,452
2020-05-24,452
2020-05-25,456
2020-05-26,459
2020-05-27,460
2020-05-28,465
2020-05-29,470
2020-05-30,471
2020-05-31,471
2020-06-01,473
2020-06-02,477
2020-06-03,478
2020-06-04,479
2020-06-05,480
2020-06-06,480
2020-06-07,480
2020-06-08,481
2020-06-09,481
2020-06-10,486
2020-06-11,487
2020-06-12,488
2020-06-13,489
2020-06-14,495
2020-06-15,496
2020-06-16,495
2020-06-17,497
2020-06-18,502
2020-06-19,504
2020-06-20,505
2020-06-21,506
