Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,1
2020-02-27,1
2020-02-28,2
2020-02-29,2
2020-03-01,2
2020-03-02,2
2020-03-03,3
2020-03-04,5
2020-03-05,3
2020-03-06,6
2020-03-07,10
2020-03-08,10
2020-03-09,12
2020-03-10,24
2020-03-11,41
2020-03-12,52
2020-03-13,88
2020-03-14,114
2020-03-15,130
2020-03-16,159
2020-03-17,198
2020-03-18,241
2020-03-19,252
2020-03-20,277
2020-03-21,315
2020-03-22,366
2020-03-23,496
2020-03-24,703
2020-03-25,803
2020-03-26,912
2020-03-27,1151
2020-03-28,1276
2020-03-29,1566
2020-03-30,1835
2020-03-31,1943
2020-04-01,2116
2020-04-02,2356
2020-04-03,2767
2020-04-04,3138
2020-04-05,3339
2020-04-06,3475
2020-04-07,3760
2020-04-08,4013
2020-04-09,4307
2020-04-10,4468
2020-04-11,4941
2020-04-12,5132
2020-04-13,5388
2020-04-14,5477
2020-04-15,5627
2020-04-16,5958
2020-04-17,6148
2020-04-18,6267
2020-04-19,6403
2020-04-20,6441
2020-04-21,6591
2020-04-22,6780
2020-04-23,7073
2020-04-24,7033
2020-04-25,7144
2020-04-26,7363
2020-04-27,7557
2020-04-28,7549
2020-04-29,7716
2020-04-30,7506
2020-05-01,7495
2020-05-02,7414
2020-05-03,7504
2020-05-04,7425
2020-05-05,7542
2020-05-06,7455
2020-05-07,7467
2020-05-08,7465
2020-05-09,7280
2020-05-10,7350
2020-05-11,7361
2020-05-12,7091
2020-05-13,7005
2020-05-14,6141
2020-05-15,5997
2020-05-16,6036
2020-05-17,5874
2020-05-18,5986
2020-05-19,5888
2020-05-20,5884
2020-05-21,5848
2020-05-22,5769
2020-05-23,5494
2020-05-24,5486
2020-05-25,5448
2020-05-26,5339
2020-05-27,5205
2020-05-28,4927
2020-05-29,4905
2020-05-30,4828
2020-05-31,4735
2020-06-01,4696
2020-06-02,4703
2020-06-03,4573
2020-06-04,4683
2020-06-05,4642
2020-06-06,4549
2020-06-07,4508
2020-06-08,4439
2020-06-09,4485
2020-06-10,4482
2020-06-11,4530
2020-06-12,4579
2020-06-13,4650
2020-06-14,4870
2020-06-15,4921
2020-06-16,4907
2020-06-17,5192
2020-06-18,5299
2020-06-19,5361
2020-06-20,5495
2020-06-21,5622
2020-06-22,5737
2020-06-23,5779
2020-06-24,5880
2020-06-25,5815
2020-06-26,5937
2020-06-27,5903
