Date,Novel Coronavirus Daily Deaths
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,0.0
2020-03-21,0.0
2020-03-22,3.0
2020-03-23,4.0
2020-03-24,5.0
2020-03-25,5.0
2020-03-26,6.0
2020-03-27,3.0
2020-03-28,11.0
2020-03-29,6.0
2020-03-30,22.0
2020-03-31,17.0
2020-04-01,10.0
2020-04-02,23.0
2020-04-03,18.0
2020-04-04,13.0
2020-04-05,5.0
2020-04-06,25.0
2020-04-07,21.0
2020-04-08,23.0
2020-04-09,28.0
2020-04-10,22.0
2020-04-11,21.0
2020-04-12,25.0
2020-04-13,15.0
2020-04-14,20.0
2020-04-15,21.0
2020-04-16,20.0
2020-04-17,19.0
2020-04-18,10.0
2020-04-19,30.0
2020-04-20,27.0
2020-04-21,20.0
2020-04-22,26.0
2020-04-23,21.0
2020-04-24,22.0
2020-04-25,34.0
2020-04-26,18.0
2020-04-27,22.0
2020-04-28,22.0
2020-04-29,30.0
2020-04-30,24.0
2020-05-01,27.0
2020-05-02,27.0
2020-05-03,19.0
2020-05-04,28.0
2020-05-05,23.0
2020-05-06,23.0
2020-05-07,24.0
2020-05-08,35.0
2020-05-09,16.0
2020-05-10,22.0
2020-05-11,21.0
2020-05-12,20.0
2020-05-13,34.0
