Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,1
2020-03-15,5
2020-03-16,7
2020-03-17,7
2020-03-18,11
2020-03-19,11
2020-03-20,17
2020-03-21,17
2020-03-22,19
2020-03-23,36
2020-03-24,40
2020-03-25,41
2020-03-26,50
2020-03-27,54
2020-03-28,60
2020-03-29,70
2020-03-30,70
2020-03-31,75
2020-04-01,82
2020-04-02,84
2020-04-03,89
2020-04-04,102
2020-04-05,104
2020-04-06,105
2020-04-07,105
2020-04-08,110
2020-04-09,113
2020-04-10,118
2020-04-11,120
2020-04-12,126
2020-04-13,127
2020-04-14,134
2020-04-15,136
2020-04-16,138
2020-04-17,143
2020-04-18,144
2020-04-19,147
2020-04-20,147
2020-04-21,150
2020-04-22,153
2020-04-23,154
2020-04-24,176
2020-04-25,183
2020-04-26,191
