Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,
2020-03-15,4.0
2020-03-16,2.0
2020-03-17,0.0
2020-03-18,4.0
2020-03-19,0.0
2020-03-20,6.0
2020-03-21,0.0
2020-03-22,2.0
2020-03-23,17.0
2020-03-24,4.0
2020-03-25,1.0
2020-03-26,9.0
2020-03-27,4.0
2020-03-28,6.0
2020-03-29,10.0
2020-03-30,0.0
2020-03-31,5.0
2020-04-01,7.0
2020-04-02,2.0
2020-04-03,5.0
2020-04-04,13.0
2020-04-05,2.0
2020-04-06,1.0
2020-04-07,0.0
2020-04-08,5.0
2020-04-09,3.0
2020-04-10,5.0
2020-04-11,2.0
2020-04-12,6.0
2020-04-13,1.0
2020-04-14,7.0
2020-04-15,2.0
2020-04-16,2.0
2020-04-17,5.0
2020-04-18,1.0
2020-04-19,3.0
2020-04-20,0.0
2020-04-21,3.0
2020-04-22,3.0
2020-04-23,1.0
2020-04-24,22.0
2020-04-25,7.0
2020-04-26,8.0
2020-04-27,16.0
2020-04-28,5.0
2020-04-29,13.0
2020-04-30,18.0
2020-05-01,6.0
2020-05-02,6.0
2020-05-03,4.0
2020-05-04,2.0
2020-05-05,0.0
2020-05-06,7.0
2020-05-07,3.0
2020-05-08,2.0
2020-05-09,7.0
2020-05-10,4.0
2020-05-11,1.0
2020-05-12,1.0
2020-05-13,1.0
