Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,1
2020-03-07,1
2020-03-08,1
2020-03-09,2
2020-03-10,5
2020-03-11,18
2020-03-12,24
2020-03-13,35
2020-03-14,46
2020-03-15,47
2020-03-16,56
2020-03-17,71
2020-03-18,88
2020-03-19,102
2020-03-20,132
2020-03-21,168
2020-03-22,218
2020-03-23,243
2020-03-24,285
2020-03-25,365
2020-03-26,435
2020-03-27,478
2020-03-28,607
2020-03-29,686
2020-03-30,727
2020-03-31,835
2020-04-01,990
2020-04-02,1098
2020-04-03,1383
2020-04-04,1526
2020-04-05,1803
2020-04-06,2024
2020-04-07,2268
2020-04-08,2483
2020-04-09,2683
2020-04-10,2916
2020-04-11,3188
2020-04-12,3150
2020-04-13,3569
2020-04-14,3971
2020-04-15,4374
2020-04-16,4772
2020-04-17,5046
2020-04-18,5240
2020-04-19,5443
2020-04-20,5635
2020-04-21,5783
2020-04-22,5955
2020-04-23,6074
2020-04-24,6245
2020-04-25,6476
2020-04-26,6704
2020-04-27,6904
2020-04-28,7069
2020-04-29,7259
2020-04-30,7487
2020-05-01,7641
2020-05-02,7747
2020-05-03,7720
2020-05-04,7786
2020-05-05,7754
2020-05-06,7617
2020-05-07,7482
2020-05-08,7281
2020-05-09,7087
2020-05-10,6893
2020-05-11,6668
2020-05-12,6423
2020-05-13,6249
2020-05-14,6066
2020-05-15,5912
2020-05-16,5789
2020-05-17,5667
2020-05-18,5669
2020-05-19,5595
2020-05-20,5531
2020-05-21,5312
2020-05-22,5246
