Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,1.0
2020-03-10,3.0
2020-03-11,13.0
2020-03-12,6.0
2020-03-13,11.0
2020-03-14,11.0
2020-03-15,2.0
2020-03-16,9.0
2020-03-17,15.0
2020-03-18,17.0
2020-03-19,14.0
2020-03-20,32.0
2020-03-21,36.0
2020-03-22,51.0
2020-03-23,27.0
2020-03-24,54.0
2020-03-25,81.0
2020-03-26,73.0
2020-03-27,71.0
2020-03-28,131.0
2020-03-29,82.0
2020-03-30,44.0
2020-03-31,115.0
2020-04-01,160.0
2020-04-02,111.0
2020-04-03,305.0
2020-04-04,148.0
2020-04-05,284.0
2020-04-06,292.0
2020-04-07,247.0
2020-04-08,219.0
2020-04-09,201.0
2020-04-10,238.0
2020-04-11,275.0
2020-04-12,250.0
2020-04-13,424.0
2020-04-14,411.0
2020-04-15,408.0
2020-04-16,445.0
2020-04-17,372.0
2020-04-18,304.0
2020-04-19,324.0
2020-04-20,312.0
2020-04-21,260.0
2020-04-22,224.0
2020-04-23,162.0
2020-04-24,207.0
2020-04-25,296.0
2020-04-26,263.0
2020-04-27,233.0
2020-04-28,222.0
2020-04-29,227.0
2020-04-30,285.0
2020-05-01,196.0
2020-05-02,157.0
2020-05-03,102.0
2020-05-04,93.0
2020-05-05,120.0
2020-05-06,114.0
2020-05-07,57.0
2020-05-08,95.0
2020-05-09,89.0
2020-05-10,82.0
2020-05-11,62.0
2020-05-12,67.0
2020-05-13,52.0
