Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,3.0
2020-02-17,2.0
2020-02-18,4.0
2020-02-19,3.0
2020-02-20,1.0
2020-02-21,1.0
2020-02-22,3.0
2020-02-23,0.0
2020-02-24,1.0
2020-02-25,1.0
2020-02-26,2.0
2020-02-27,3.0
2020-02-28,2.0
2020-02-29,4.0
2020-03-01,4.0
2020-03-02,2.0
2020-03-03,2.0
2020-03-04,2.0
2020-03-05,5.0
2020-03-06,13.0
2020-03-07,8.0
2020-03-08,12.0
2020-03-09,10.0
2020-03-10,6.0
2020-03-11,12.0
2020-03-12,9.0
2020-03-13,13.0
2020-03-14,12.0
2020-03-15,14.0
2020-03-16,17.0
2020-03-17,23.0
2020-03-18,47.0
2020-03-19,32.0
2020-03-20,40.0
2020-03-21,47.0
2020-03-22,23.0
2020-03-23,54.0
2020-03-24,49.0
2020-03-25,73.0
2020-03-26,52.0
2020-03-27,49.0
2020-03-28,70.0
2020-03-29,42.0
2020-03-30,35.0
2020-03-31,47.0
2020-04-01,74.0
2020-04-02,49.0
2020-04-03,65.0
2020-04-04,75.0
2020-04-05,120.0
2020-04-06,66.0
2020-04-07,106.0
2020-04-08,142.0
2020-04-09,287.0
2020-04-10,198.0
2020-04-11,191.0
2020-04-12,233.0
2020-04-13,386.0
2020-04-14,334.0
2020-04-15,447.0
2020-04-16,728.0
2020-04-17,623.0
2020-04-18,942.0
2020-04-19,596.0
2020-04-20,1426.0
2020-04-21,1111.0
2020-04-22,1016.0
2020-04-23,1037.0
2020-04-24,897.0
2020-04-25,618.0
2020-04-26,931.0
2020-04-27,799.0
2020-04-28,528.0
2020-04-29,690.0
2020-04-30,528.0
2020-05-01,932.0
2020-05-02,447.0
2020-05-03,657.0
2020-05-04,573.0
2020-05-05,632.0
2020-05-06,788.0
2020-05-07,741.0
2020-05-08,768.0
2020-05-09,753.0
2020-05-10,876.0
2020-05-11,451.0
2020-05-12,884.0
2020-05-13,675.0
2020-05-14,752.0
2020-05-15,793.0
2020-05-16,465.0
2020-05-17,682.0
2020-05-18,305.0
2020-05-19,451.0
2020-05-20,570.0
2020-05-21,448.0
2020-05-22,614.0
2020-05-23,642.0
2020-05-24,548.0
2020-05-25,344.0
2020-05-26,383.0
2020-05-27,533.0
2020-05-28,373.0
2020-05-29,611.0
2020-05-30,506.0
2020-05-31,518.0
2020-06-01,408.0
2020-06-02,544.0
2020-06-03,569.0
2020-06-04,517.0
2020-06-05,261.0
2020-06-06,344.0
2020-06-07,383.0
2020-06-08,386.0
2020-06-09,218.0
2020-06-10,451.0
2020-06-11,422.0
2020-06-12,463.0
2020-06-13,347.0
2020-06-14,407.0
2020-06-15,214.0
2020-06-16,151.0
2020-06-17,247.0
2020-06-18,257.0
2020-06-19,142.0
2020-06-20,218.0
2020-06-21,262.0
2020-06-22,218.0
2020-06-23,119.0
2020-06-24,191.0
2020-06-25,113.0
2020-06-26,219.0
2020-06-27,291.0
