Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,1
2020-03-19,1
2020-03-20,1
2020-03-21,1
2020-03-22,1
2020-03-23,2
2020-03-24,2
2020-03-25,3
2020-03-26,3
2020-03-27,3
2020-03-28,6
2020-03-29,6
2020-03-30,6
2020-03-31,6
2020-04-01,9
2020-04-02,11
2020-04-03,13
2020-04-04,13
2020-04-05,20
2020-04-06,30
2020-04-07,33
2020-04-08,33
2020-04-09,36
2020-04-10,39
2020-04-11,36
2020-04-12,36
2020-04-13,36
2020-04-14,38
2020-04-15,39
2020-04-16,36
2020-04-17,36
2020-04-18,43
2020-04-19,45
2020-04-20,45
2020-04-21,46
2020-04-22,38
2020-04-23,39
2020-04-24,39
2020-04-25,39
2020-04-26,28
