Date,Total Coronavirus Deaths
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,1
2020-04-02,1
2020-04-03,1
2020-04-04,1
2020-04-05,1
2020-04-06,2
2020-04-07,2
2020-04-08,2
2020-04-09,2
2020-04-10,2
2020-04-11,2
2020-04-12,2
2020-04-13,2
2020-04-14,2
2020-04-15,6
2020-04-16,8
2020-04-17,9
2020-04-18,11
2020-04-19,12
2020-04-20,13
2020-04-21,14
2020-04-22,14
2020-04-23,15
2020-04-24,17
2020-04-25,17
2020-04-26,18
2020-04-27,18
2020-04-28,20
2020-04-29,22
2020-04-30,23
2020-05-01,23
2020-05-02,24
2020-05-03,24
2020-05-04,25
2020-05-05,25
2020-05-06,25
2020-05-07,26
2020-05-08,26
2020-05-09,26
2020-05-10,26
2020-05-11,26
2020-05-12,27
2020-05-13,27
2020-05-14,27
2020-05-15,27
2020-05-16,28
2020-05-17,28
2020-05-18,28
2020-05-19,28
2020-05-20,28
2020-05-21,28
2020-05-22,28
