Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,1
2020-03-05,6
2020-03-06,8
2020-03-07,12
2020-03-08,16
2020-03-09,25
2020-03-10,34
2020-03-11,57
2020-03-12,96
2020-03-13,141
2020-03-14,180
2020-03-15,218
2020-03-16,252
2020-03-17,274
2020-03-18,285
2020-03-19,318
2020-03-20,340
2020-03-21,382
2020-03-22,412
2020-03-23,439
2020-03-24,473
2020-03-25,513
2020-03-26,546
2020-03-27,613
2020-03-28,665
2020-03-29,709
2020-03-30,735
2020-03-31,777
2020-04-01,816
2020-04-02,810
2020-04-03,844
2020-04-04,876
2020-04-05,890
2020-04-06,889
2020-04-07,921
2020-04-08,931
2020-04-09,953
2020-04-10,978
2020-04-11,990
2020-04-12,1002
2020-04-13,1005
2020-04-14,1012
2020-04-15,1022
2020-04-16,1033
2020-04-17,1064
2020-04-18,1057
2020-04-19,1064
2020-04-20,1065
2020-04-21,1070
2020-04-22,1069
2020-04-23,1076
2020-04-24,1082
2020-04-25,1088
2020-04-26,1093
2020-04-27,1098
2020-04-28,1099
2020-04-29,1099
2020-04-30,1105
2020-05-01,1109
2020-05-02,1106
2020-05-03,1102
2020-05-04,1101
2020-05-05,1103
2020-05-06,1103
2020-05-07,1103
2020-05-08,1098
2020-05-09,1098
2020-05-10,1099
2020-05-11,1102
2020-05-12,1100
2020-05-13,1100
2020-05-14,1094
2020-05-15,1092
2020-05-16,1090
2020-05-17,1089
2020-05-18,27
2020-05-19,25
2020-05-20,23
2020-05-21,22
2020-05-22,22
2020-05-23,22
2020-05-24,21
2020-05-25,16
2020-05-26,15
2020-05-27,9
2020-05-28,9
2020-05-29,8
2020-05-30,8
2020-05-31,7
2020-06-01,6
2020-06-02,8
2020-06-03,10
2020-06-04,9
2020-06-05,11
2020-06-06,16
2020-06-07,17
2020-06-08,17
2020-06-09,18
2020-06-10,20
2020-06-11,20
2020-06-12,22
2020-06-13,24
2020-06-14,27
2020-06-15,28
2020-06-16,31
2020-06-17,35
2020-06-18,43
2020-06-19,45
2020-06-20,51
2020-06-21,35
