Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,1
2020-03-06,1
2020-03-07,2
2020-03-08,3
2020-03-09,7
2020-03-10,7
2020-03-11,13
2020-03-12,16
2020-03-13,24
2020-03-14,38
2020-03-15,61
2020-03-16,64
2020-03-17,85
2020-03-18,116
2020-03-19,150
2020-03-20,202
2020-03-21,240
2020-03-22,274
2020-03-23,402
2020-03-24,554
2020-03-25,709
2020-03-26,927
2020-03-27,1170
2020-03-28,1187
2020-03-29,1280
2020-03-30,1326
2020-03-31,1353
2020-04-01,1380
2020-04-02,1462
2020-04-03,1505
2020-04-04,1585
2020-04-05,1655
2020-04-06,1686
2020-04-07,1749
2020-04-08,1845
2020-04-09,1934
2020-04-10,2003
2020-04-11,2028
2020-04-12,2173
2020-04-13,2272
2020-04-14,2415
2020-04-15,2506
2020-04-16,2605
2020-04-17,2783
2020-04-18,3034
2020-04-19,3158
2020-04-20,3300
2020-04-21,3465
2020-04-22,3635
2020-04-23,3953
2020-04-24,4220
2020-04-25,4361
2020-04-26,4546
2020-04-27,4793
2020-04-28,4996
2020-04-29,5350
2020-04-30,5647
2020-05-01,5951
2020-05-02,6336
2020-05-03,6783
2020-05-04,7220
2020-05-05,7572
2020-05-06,7808
2020-05-07,8232
2020-05-08,8895
2020-05-09,9420
2020-05-10,10015
2020-05-11,10652
2020-05-12,11350
2020-05-13,12074
