Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,0.0
2020-03-07,1.0
2020-03-08,1.0
2020-03-09,4.0
2020-03-10,0.0
2020-03-11,6.0
2020-03-12,3.0
2020-03-13,8.0
2020-03-14,14.0
2020-03-15,23.0
2020-03-16,3.0
2020-03-17,21.0
2020-03-18,31.0
2020-03-19,34.0
2020-03-20,52.0
2020-03-21,38.0
2020-03-22,34.0
2020-03-23,128.0
2020-03-24,152.0
2020-03-25,155.0
2020-03-26,218.0
2020-03-27,243.0
2020-03-28,17.0
2020-03-29,93.0
2020-03-30,46.0
2020-03-31,27.0
2020-04-01,27.0
2020-04-02,82.0
2020-04-03,43.0
2020-04-04,80.0
2020-04-05,70.0
2020-04-06,31.0
2020-04-07,63.0
2020-04-08,96.0
2020-04-09,89.0
2020-04-10,69.0
2020-04-11,25.0
2020-04-12,145.0
2020-04-13,99.0
2020-04-14,143.0
2020-04-15,91.0
2020-04-16,99.0
2020-04-17,178.0
2020-04-18,251.0
2020-04-19,124.0
2020-04-20,142.0
2020-04-21,165.0
2020-04-22,170.0
2020-04-23,318.0
2020-04-24,267.0
2020-04-25,141.0
2020-04-26,185.0
2020-04-27,247.0
2020-04-28,203.0
2020-04-29,354.0
2020-04-30,297.0
2020-05-01,304.0
2020-05-02,385.0
2020-05-03,447.0
2020-05-04,437.0
2020-05-05,352.0
2020-05-06,236.0
2020-05-07,424.0
2020-05-08,663.0
2020-05-09,525.0
2020-05-10,595.0
2020-05-11,637.0
2020-05-12,698.0
2020-05-13,724.0
2020-05-14,665.0
2020-05-15,785.0
2020-05-16,831.0
2020-05-17,1160.0
2020-05-18,918.0
2020-05-19,767.0
2020-05-20,803.0
2020-05-21,1134.0
2020-05-22,988.0
2020-05-23,1218.0
2020-05-24,1240.0
2020-05-25,1032.0
2020-05-26,649.0
2020-05-27,1673.0
2020-05-28,1466.0
2020-05-29,1837.0
2020-05-30,1727.0
2020-05-31,1716.0
2020-06-01,1674.0
2020-06-02,1455.0
2020-06-03,1713.0
2020-06-04,3267.0
2020-06-05,2642.0
2020-06-06,2539.0
2020-06-07,2312.0
2020-06-08,2594.0
2020-06-09,2112.0
2020-06-10,2430.0
2020-06-11,3147.0
2020-06-12,3359.0
2020-06-13,3809.0
2020-06-14,4302.0
2020-06-15,3495.0
2020-06-16,2801.0
2020-06-17,4078.0
2020-06-18,3478.0
2020-06-19,3825.0
2020-06-20,4966.0
2020-06-21,4621.0
2020-06-22,4288.0
2020-06-23,4518.0
2020-06-24,5688.0
2020-06-25,6579.0
2020-06-26,6215.0
2020-06-27,7210.0
