Date,Total Coronavirus Deaths
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,1
2020-02-21,2
2020-02-22,2
2020-02-23,6
2020-02-24,8
2020-02-25,11
2020-02-26,12
2020-02-27,13
2020-02-28,16
2020-02-29,17
2020-03-01,21
2020-03-02,28
2020-03-03,32
2020-03-04,35
2020-03-05,42
2020-03-06,43
2020-03-07,48
2020-03-08,50
2020-03-09,53
2020-03-10,60
2020-03-11,60
2020-03-12,66
2020-03-13,67
2020-03-14,72
2020-03-15,75
2020-03-16,75
2020-03-17,81
2020-03-18,84
2020-03-19,91
2020-03-20,94
2020-03-21,102
2020-03-22,104
2020-03-23,111
2020-03-24,120
2020-03-25,126
2020-03-26,131
2020-03-27,139
2020-03-28,144
2020-03-29,152
2020-03-30,158
2020-03-31,162
2020-04-01,165
2020-04-02,169
2020-04-03,174
2020-04-04,177
2020-04-05,183
2020-04-06,186
2020-04-07,192
2020-04-08,200
2020-04-09,204
2020-04-10,208
2020-04-11,211
2020-04-12,214
2020-04-13,217
2020-04-14,222
2020-04-15,225
2020-04-16,229
2020-04-17,230
2020-04-18,232
2020-04-19,234
2020-04-20,236
2020-04-21,237
2020-04-22,238
2020-04-23,240
2020-04-24,240
2020-04-25,240
2020-04-26,242
2020-04-27,243
2020-04-28,244
2020-04-29,246
2020-04-30,247
2020-05-01,248
2020-05-02,250
2020-05-03,250
2020-05-04,252
2020-05-05,254
2020-05-06,255
2020-05-07,256
2020-05-08,256
2020-05-09,256
2020-05-10,256
2020-05-11,256
2020-05-12,258
2020-05-13,259
2020-05-14,260
2020-05-15,260
2020-05-16,262
2020-05-17,262
2020-05-18,263
2020-05-19,263
2020-05-20,263
2020-05-21,264
2020-05-22,264
