Date,New Daily Coronavirus Cases+Cured
2020-02-15,
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,1.0
2020-03-06,3.0
2020-03-07,24.0
2020-03-08,2.0
2020-03-09,0.0
2020-03-10,103.0
2020-03-11,48.0
2020-03-12,6.0
2020-03-13,4.0
2020-03-14,324.0
2020-03-15,0.0
2020-03-16,13.0
2020-03-17,498.0
2020-03-18,53.0
2020-03-19,26.0
2020-03-20,481.0
2020-03-21,537.0
2020-03-22,450.0
2020-03-23,780.0
2020-03-24,439.0
2020-03-25,1573.0
2020-03-26,1648.0
2020-03-27,2342.0
2020-03-28,2928.0
2020-03-29,2424.0
2020-03-30,2071.0
2020-03-31,2479.0
2020-04-01,3388.0
2020-04-02,4096.0
2020-04-03,3770.0
2020-04-04,3706.0
2020-04-05,3861.0
2020-04-06,2357.0
2020-04-07,2771.0
2020-04-08,4813.0
2020-04-09,4144.0
2020-04-10,3503.0
2020-04-11,3441.0
2020-04-12,3282.0
2020-04-13,2336.0
2020-04-14,2777.0
2020-04-15,3349.0
2020-04-16,3944.0
2020-04-17,0.0
2020-04-18,1194.0
2020-04-19,3892.0
2020-04-20,2011.0
2020-04-21,2044.0
2020-04-22,3294.0
2020-04-23,3529.0
2020-04-24,18368.0
2020-04-25,4433.0
2020-04-26,4165.0
2020-04-27,3105.0
2020-04-28,3071.0
2020-04-29,9026.0
2020-04-30,5026.0
2020-05-01,4486.0
2020-05-02,3814.0
2020-05-03,2303.0
2020-05-04,3075.0
2020-05-05,3085.0
2020-05-06,4641.0
2020-05-07,4560.0
2020-05-08,4489.0
2020-05-09,4749.0
2020-05-10,3282.0
2020-05-11,1407.0
2020-05-12,2624.0
2020-05-13,2757.0
2020-05-14,3253.0
2020-05-15,2487.0
2020-05-16,3286.0
2020-05-17,3692.0
2020-05-18,1013.0
2020-05-19,0.0
2020-05-20,0.0
2020-05-21,0.0
2020-05-22,0.0
