Date,Total Coronavirus Cases
2020-02-15,2
2020-02-16,2
2020-02-17,2
2020-02-18,2
2020-02-19,2
2020-02-20,2
2020-02-21,2
2020-02-22,2
2020-02-23,2
2020-02-24,3
2020-02-25,9
2020-02-26,13
2020-02-27,25
2020-02-28,33
2020-02-29,58
2020-03-01,84
2020-03-02,120
2020-03-03,165
2020-03-04,228
2020-03-05,282
2020-03-06,401
2020-03-07,525
2020-03-08,674
2020-03-09,1231
2020-03-10,1695
2020-03-11,2277
2020-03-12,3146
2020-03-13,5232
2020-03-14,6391
2020-03-15,7988
2020-03-16,9942
2020-03-17,11826
2020-03-18,14769
2020-03-19,18077
2020-03-20,21571
2020-03-21,25496
2020-03-22,28768
2020-03-23,35136
2020-03-24,42058
2020-03-25,49515
2020-03-26,57786
2020-03-27,65719
2020-03-28,73235
2020-03-29,80110
2020-03-30,87956
2020-03-31,95923
2020-04-01,104118
2020-04-02,112065
2020-04-03,119199
2020-04-04,126168
2020-04-05,131646
2020-04-06,136675
2020-04-07,141942
2020-04-08,148220
2020-04-09,153222
2020-04-10,158273
2020-04-11,163027
2020-04-12,166831
2020-04-13,170099
2020-04-14,174060
2020-04-15,180659
2020-04-16,184948
2020-04-17,190839
2020-04-18,194416
2020-04-19,198674
2020-04-20,200210
2020-04-21,204178
2020-04-22,208389
2020-04-23,213024
2020-04-24,219764
2020-04-25,223759
2020-04-26,226629
2020-04-27,229422
2020-04-28,232128
2020-04-29,236899
2020-04-30,239340
2020-05-01,242979
2020-05-02,245589
2020-05-03,247122
2020-05-04,248301
2020-05-05,250561
2020-05-06,253682
2020-05-07,256855
2020-05-08,260117
2020-05-09,262783
2020-05-10,264663
2020-05-11,268143
2020-05-12,269520
2020-05-13,271095
2020-05-14,272646
2020-05-15,274367
2020-05-16,276505
2020-05-17,277719
2020-05-18,278188
2020-05-19,278803
2020-05-20,279524
2020-05-21,280117
2020-05-22,281904
