Date,Percent (%)
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,33.33
2020-03-04,50.0
2020-03-05,50.0
2020-03-06,57.14
2020-03-07,25.0
2020-03-08,34.69
2020-03-09,48.39
2020-03-10,21.05
2020-03-11,23.11
2020-03-12,31.27
2020-03-13,40.8
2020-03-14,27.49
2020-03-15,36.25
2020-03-16,39.22
2020-03-17,34.14
2020-03-18,37.11
2020-03-19,42.88
2020-03-20,40.77
2020-03-21,39.39
2020-03-22,40.76
2020-03-23,40.79
2020-03-24,44.08
2020-03-25,40.46
2020-03-26,38.36
2020-03-27,35.45
2020-03-28,32.75
2020-03-29,31.62
2020-03-30,31.5
2020-03-31,30.53
2020-04-01,29.3
2020-04-02,27.9
2020-04-03,26.85
2020-04-04,25.88
2020-04-05,24.92
2020-04-06,24.81
2020-04-07,24.53
2020-04-08,23.55
2020-04-09,22.85
2020-04-10,22.41
2020-04-11,21.93
2020-04-12,21.62
2020-04-13,21.53
2020-04-14,21.29
2020-04-15,20.98
2020-04-16,20.37
2020-04-17,20.66
2020-04-18,20.87
2020-04-19,20.38
2020-04-20,20.29
2020-04-21,20.23
2020-04-22,19.93
2020-04-23,19.62
2020-04-24,17.11
2020-04-25,16.78
2020-04-26,16.46
2020-04-27,16.29
2020-04-28,16.13
2020-04-29,15.44
2020-04-30,15.1
2020-05-01,14.84
2020-05-02,14.65
2020-05-03,14.53
2020-05-04,14.36
2020-05-05,14.2
2020-05-06,13.96
2020-05-07,13.72
2020-05-08,13.51
2020-05-09,13.26
2020-05-10,13.11
2020-05-11,13.07
2020-05-12,12.98
2020-05-13,12.89
2020-05-14,12.78
2020-05-15,12.69
2020-05-16,12.54
2020-05-17,12.37
2020-05-18,12.33
2020-05-19,12.36
2020-05-20,12.4
2020-05-21,12.42
2020-05-22,12.69
