Date,Total Coronavirus Cases
2020-02-15,1
2020-02-16,1
2020-02-17,1
2020-02-18,1
2020-02-19,1
2020-02-20,1
2020-02-21,1
2020-02-22,1
2020-02-23,1
2020-02-24,1
2020-02-25,1
2020-02-26,1
2020-02-27,1
2020-02-28,1
2020-02-29,1
2020-03-01,1
2020-03-02,1
2020-03-03,1
2020-03-04,1
2020-03-05,1
2020-03-06,1
2020-03-07,1
2020-03-08,1
2020-03-09,1
2020-03-10,1
2020-03-11,2
2020-03-12,3
2020-03-13,6
2020-03-14,10
2020-03-15,18
2020-03-16,28
2020-03-17,44
2020-03-18,51
2020-03-19,60
2020-03-20,73
2020-03-21,77
2020-03-22,82
2020-03-23,97
2020-03-24,102
2020-03-25,102
2020-03-26,106
2020-03-27,106
2020-03-28,113
2020-03-29,117
2020-03-30,122
2020-03-31,143
2020-04-01,146
2020-04-02,151
2020-04-03,159
2020-04-04,166
2020-04-05,176
2020-04-06,178
2020-04-07,185
2020-04-08,189
2020-04-09,190
2020-04-10,190
2020-04-11,198
2020-04-12,210
2020-04-13,217
2020-04-14,233
2020-04-15,238
2020-04-16,238
2020-04-17,244
2020-04-18,254
2020-04-19,271
2020-04-20,304
2020-04-21,310
2020-04-22,330
2020-04-23,368
2020-04-24,417
2020-04-25,452
2020-04-26,523
2020-04-27,588
2020-04-28,619
2020-04-29,649
2020-04-30,663
2020-05-01,690
2020-05-02,702
2020-05-03,718
2020-05-04,751
2020-05-05,771
2020-05-06,797
2020-05-07,823
2020-05-08,835
2020-05-09,847
2020-05-10,856
2020-05-11,863
2020-05-12,889
2020-05-13,893
2020-05-14,925
2020-05-15,935
2020-05-16,957
2020-05-17,981
2020-05-18,992
2020-05-19,1023
2020-05-20,1028
2020-05-21,1048
2020-05-22,1068
2020-05-23,1089
2020-05-24,1141
2020-05-25,1182
2020-05-26,1319
2020-05-27,1469
2020-05-28,1530
2020-05-29,1558
