Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,1
2020-03-12,2
2020-03-13,5
2020-03-14,9
2020-03-15,17
2020-03-16,27
2020-03-17,43
2020-03-18,48
2020-03-19,57
2020-03-20,70
2020-03-21,74
2020-03-22,79
2020-03-23,95
2020-03-24,100
2020-03-25,99
2020-03-26,99
2020-03-27,99
2020-03-28,103
2020-03-29,105
2020-03-30,105
2020-03-31,124
2020-04-01,122
2020-04-02,126
2020-04-03,131
2020-04-04,134
2020-04-05,138
2020-04-06,135
2020-04-07,137
2020-04-08,138
2020-04-09,134
2020-04-10,129
2020-04-11,137
2020-04-12,147
2020-04-13,154
2020-04-14,165
2020-04-15,168
2020-04-16,163
2020-04-17,160
2020-04-18,161
2020-04-19,168
2020-04-20,199
2020-04-21,201
2020-04-22,218
2020-04-23,254
2020-04-24,301
2020-04-25,327
2020-04-26,396
2020-04-27,455
2020-04-28,478
2020-04-29,506
2020-04-30,502
2020-05-01,521
2020-05-02,523
2020-05-03,527
2020-05-04,549
2020-05-05,549
2020-05-06,573
2020-05-07,582
2020-05-08,586
2020-05-09,578
2020-05-10,526
2020-05-11,511
2020-05-12,514
2020-05-13,502
2020-05-14,471
2020-05-15,449
2020-05-16,428
2020-05-17,434
2020-05-18,424
2020-05-19,445
2020-05-20,435
2020-05-21,435
2020-05-22,439
2020-05-23,420
2020-05-24,458
2020-05-25,477
2020-05-26,597
2020-05-27,727
2020-05-28,775
2020-05-29,794
2020-05-30,822
2020-05-31,822
2020-06-01,821
2020-06-02,849
2020-06-03,888
2020-06-04,947
2020-06-05,932
2020-06-06,912
2020-06-07,883
2020-06-08,856
2020-06-09,791
2020-06-10,736
2020-06-11,716
2020-06-12,673
2020-06-13,621
2020-06-14,591
2020-06-15,552
2020-06-16,533
2020-06-17,516
2020-06-18,514
2020-06-19,493
2020-06-20,467
2020-06-21,441
2020-06-22,414
2020-06-23,432
2020-06-24,428
2020-06-25,397
2020-06-26,384
2020-06-27,383
