Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,7
2020-03-06,16
2020-03-07,19
2020-03-08,19
2020-03-09,26
2020-03-10,31
2020-03-11,31
2020-03-12,32
2020-03-13,36
2020-03-14,39
2020-03-15,39
2020-03-16,40
2020-03-17,43
2020-03-18,43
2020-03-19,45
2020-03-20,47
2020-03-21,50
2020-03-22,57
2020-03-23,57
2020-03-24,58
2020-03-25,63
2020-03-26,84
2020-03-27,91
2020-03-28,98
2020-03-29,106
2020-03-30,117
2020-03-31,119
2020-04-01,133
2020-04-02,154
2020-04-03,193
2020-04-04,217
2020-04-05,236
2020-04-06,254
2020-04-07,261
2020-04-08,263
2020-04-09,263
2020-04-10,267
2020-04-11,268
2020-04-12,271
2020-04-13,274
2020-04-14,288
2020-04-15,291
2020-04-16,295
2020-04-17,307
2020-04-18,313
2020-04-19,322
2020-04-20,329
2020-04-21,334
2020-04-22,335
2020-04-23,336
2020-04-24,340
2020-04-25,342
2020-04-26,342
2020-04-27,342
2020-04-28,343
2020-04-29,344
2020-04-30,344
2020-05-01,353
2020-05-02,353
2020-05-03,353
2020-05-04,362
2020-05-05,371
2020-05-06,374
2020-05-07,375
2020-05-08,375
2020-05-09,375
2020-05-10,375
2020-05-11,375
2020-05-12,375
2020-05-13,375
2020-05-14,375
2020-05-15,375
2020-05-16,376
2020-05-17,381
2020-05-18,388
2020-05-19,391
2020-05-20,398
2020-05-21,423
2020-05-22,423
2020-05-23,423
2020-05-24,423
2020-05-25,423
2020-05-26,429
2020-05-27,434
2020-05-28,446
2020-05-29,446
2020-05-30,447
2020-05-31,448
2020-06-01,449
2020-06-02,451
2020-06-03,457
2020-06-04,464
2020-06-05,464
2020-06-06,464
2020-06-07,472
2020-06-08,473
2020-06-09,481
2020-06-10,485
2020-06-11,487
2020-06-12,489
2020-06-13,489
2020-06-14,492
2020-06-15,505
2020-06-16,514
2020-06-17,555
2020-06-18,600
2020-06-19,675
2020-06-20,784
2020-06-21,833
