Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,1
2020-03-19,1
2020-03-20,1
2020-03-21,1
2020-03-22,1
2020-03-23,1
2020-03-24,2
2020-03-25,2
2020-03-26,2
2020-03-27,2
2020-03-28,4
2020-03-29,5
2020-03-30,4
2020-03-31,4
2020-04-01,3
2020-04-02,4
2020-04-03,6
2020-04-04,6
2020-04-05,8
2020-04-06,8
2020-04-07,10
2020-04-08,10
2020-04-09,11
2020-04-10,13
2020-04-11,15
2020-04-12,15
2020-04-13,21
2020-04-14,23
2020-04-15,23
2020-04-16,23
2020-04-17,23
2020-04-18,50
2020-04-19,50
2020-04-20,87
2020-04-21,119
2020-04-22,115
2020-04-23,135
2020-04-24,144
2020-04-25,177
2020-04-26,196
2020-04-27,232
2020-04-28,262
2020-04-29,315
2020-04-30,372
2020-05-01,372
2020-05-02,499
2020-05-03,499
2020-05-04,576
2020-05-05,663
2020-05-06,723
2020-05-07,786
2020-05-08,950
2020-05-09,981
2020-05-10,1146
2020-05-11,1291
2020-05-12,1408
2020-05-13,1530
2020-05-14,1530
2020-05-15,1668
2020-05-16,1970
2020-05-17,1970
2020-05-18,2239
2020-05-19,2331
2020-05-20,2331
2020-05-21,2708
2020-05-22,2869
