Date,Novel Coronavirus Daily Deaths
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,0.0
2020-03-21,0.0
2020-03-22,0.0
2020-03-23,0.0
2020-03-24,0.0
2020-03-25,0.0
2020-03-26,0.0
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,1.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,2.0
2020-04-14,1.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,1.0
2020-04-18,4.0
2020-04-19,0.0
2020-04-20,2.0
2020-04-21,1.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,3.0
2020-04-25,1.0
2020-04-26,4.0
2020-04-27,1.0
2020-04-28,3.0
2020-04-29,3.0
2020-04-30,3.0
2020-05-01,0.0
2020-05-02,10.0
2020-05-03,0.0
2020-05-04,0.0
2020-05-05,4.0
2020-05-06,4.0
2020-05-07,3.0
2020-05-08,7.0
2020-05-09,5.0
2020-05-10,6.0
2020-05-11,4.0
2020-05-12,6.0
2020-05-13,10.0
2020-05-14,0.0
2020-05-15,1.0
2020-05-16,6.0
2020-05-17,0.0
2020-05-18,8.0
2020-05-19,6.0
2020-05-20,0.0
2020-05-21,10.0
2020-05-22,16.0
2020-05-23,0.0
2020-05-24,9.0
2020-05-25,19.0
2020-05-26,5.0
2020-05-27,14.0
2020-05-28,11.0
2020-05-29,38.0
2020-05-30,29.0
2020-05-31,24.0
2020-06-01,12.0
2020-06-02,9.0
2020-06-03,7.0
2020-06-04,19.0
2020-06-05,14.0
2020-06-06,12.0
2020-06-07,0.0
2020-06-08,13.0
2020-06-09,17.0
2020-06-10,12.0
2020-06-11,0.0
2020-06-12,32.0
2020-06-13,14.0
2020-06-14,12.0
2020-06-15,9.0
2020-06-16,9.0
2020-06-17,10.0
2020-06-18,0.0
2020-06-19,19.0
2020-06-20,7.0
2020-06-21,8.0
