Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,1
2020-03-15,1
2020-03-16,1
2020-03-17,1
2020-03-18,1
2020-03-19,1
2020-03-20,1
2020-03-21,1
2020-03-22,4
2020-03-23,4
2020-03-24,4
2020-03-25,4
2020-03-26,6
2020-03-27,9
2020-03-28,9
2020-03-29,9
2020-03-30,9
2020-03-31,9
2020-04-01,9
2020-04-02,9
2020-04-03,9
2020-04-04,9
2020-04-05,9
2020-04-06,6
2020-04-07,6
2020-04-08,5
2020-04-09,5
2020-04-10,5
2020-04-11,5
2020-04-12,7
2020-04-13,8
2020-04-14,7
2020-04-15,7
2020-04-16,7
2020-04-17,7
2020-04-18,13
2020-04-19,13
2020-04-20,15
2020-04-21,22
2020-04-22,22
2020-04-23,22
2020-04-24,25
2020-04-25,45
2020-04-26,48
2020-04-27,54
2020-04-28,60
2020-04-29,80
2020-04-30,87
2020-05-01,93
2020-05-02,95
2020-05-03,99
2020-05-04,103
2020-05-05,106
2020-05-06,109
2020-05-07,139
2020-05-08,145
2020-05-09,147
2020-05-10,143
2020-05-11,145
2020-05-12,154
2020-05-13,137
2020-05-14,134
2020-05-15,122
2020-05-16,128
2020-05-17,128
2020-05-18,125
2020-05-19,119
2020-05-20,118
2020-05-21,106
2020-05-22,104
2020-05-23,117
2020-05-24,92
2020-05-25,96
2020-05-26,95
2020-05-27,102
2020-05-28,109
2020-05-29,109
2020-05-30,113
2020-05-31,94
2020-06-01,96
2020-06-02,93
2020-06-03,91
2020-06-04,96
2020-06-05,81
2020-06-06,95
2020-06-07,105
2020-06-08,108
2020-06-09,136
2020-06-10,159
2020-06-11,208
2020-06-12,223
2020-06-13,236
2020-06-14,237
2020-06-15,253
2020-06-16,257
2020-06-17,297
2020-06-18,315
2020-06-19,343
2020-06-20,337
2020-06-21,345
2020-06-22,346
2020-06-23,348
2020-06-24,352
2020-06-25,351
2020-06-26,353
2020-06-27,367
