Date,Total Coronavirus Cases
2020-02-15,1
2020-02-16,1
2020-02-17,1
2020-02-18,1
2020-02-19,1
2020-02-20,1
2020-02-21,1
2020-02-22,1
2020-02-23,1
2020-02-24,1
2020-02-25,1
2020-02-26,2
2020-02-27,3
2020-02-28,11
2020-02-29,14
2020-03-01,14
2020-03-02,19
2020-03-03,32
2020-03-04,62
2020-03-05,87
2020-03-06,146
2020-03-07,179
2020-03-08,225
2020-03-09,326
2020-03-10,424
2020-03-11,620
2020-03-12,771
2020-03-13,923
2020-03-14,994
2020-03-15,1063
2020-03-16,1146
2020-03-17,1265
2020-03-18,1410
2020-03-19,1553
2020-03-20,1733
2020-03-21,1867
2020-03-22,1984
2020-03-23,2166
2020-03-24,2396
2020-03-25,2710
2020-03-26,2996
2020-03-27,3362
2020-03-28,3662
2020-03-29,3943
2020-03-30,4359
2020-03-31,4834
2020-04-01,5320
2020-04-02,5874
2020-04-03,6475
2020-04-04,6832
2020-04-05,7172
2020-04-06,7561
2020-04-07,8299
2020-04-08,8954
2020-04-09,9599
2020-04-10,10053
2020-04-11,10448
2020-04-12,10912
2020-04-13,11349
2020-04-14,11829
2020-04-15,12433
2020-04-16,13056
2020-04-17,13744
2020-04-18,14276
2020-04-19,14664
2020-04-20,15125
2020-04-21,15831
2020-04-22,16553
2020-04-23,17311
2020-04-24,18097
2020-04-25,18570
2020-04-26,18870
2020-04-27,19446
2020-04-28,20207
2020-04-29,21037
2020-04-30,21715
2020-05-01,22247
2020-05-02,22545
2020-05-03,22807
2020-05-04,23308
2020-05-05,23970
2020-05-06,24721
2020-05-07,25542
2020-05-08,26255
2020-05-09,26764
2020-05-10,27042
2020-05-11,27528
2020-05-12,28328
2020-05-13,29049
2020-05-14,29735
2020-05-15,30446
2020-05-16,30804
2020-05-17,31063
2020-05-18,31520
2020-05-19,32209
2020-05-20,33034
2020-05-21,33648
2020-05-22,34177
2020-05-23,34580
2020-05-24,34790
2020-05-25,35295
2020-05-26,36052
2020-05-27,36868
2020-05-28,37639
2020-05-29,38415
2020-05-30,38847
2020-05-31,39112
2020-06-01,39756
2020-06-02,40645
2020-06-03,41715
2020-06-04,42757
2020-06-05,43900
2020-06-06,44726
2020-06-07,45188
2020-06-08,45731
2020-06-09,46666
2020-06-10,48153
2020-06-11,49500
2020-06-12,50891
2020-06-13,52001
2020-06-14,52244
2020-06-15,52383
2020-06-16,53323
2020-06-17,54562
2020-06-18,56043
2020-06-19,56043
2020-06-20,56043
2020-06-21,56043
