Date,Novel Coronavirus Daily Deaths
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,1
2020-03-12,0
2020-03-13,0
2020-03-14,1
2020-03-15,1
2020-03-16,4
2020-03-17,1
2020-03-18,2
2020-03-19,1
2020-03-20,5
2020-03-21,4
2020-03-22,1
2020-03-23,6
2020-03-24,13
2020-03-25,22
2020-03-26,15
2020-03-27,28
2020-03-28,0
2020-03-29,5
2020-03-30,36
2020-03-31,34
2020-04-01,59
2020-04-02,69
2020-04-03,50
2020-04-04,15
2020-04-05,28
2020-04-06,76
2020-04-07,114
2020-04-08,96
2020-04-09,106
2020-04-10,77
2020-04-11,17
2020-04-12,12
2020-04-13,20
2020-04-14,114
2020-04-15,170
2020-04-16,130
2020-04-17,67
2020-04-18,111
2020-04-19,29
2020-04-20,40
2020-04-21,185
2020-04-22,172
2020-04-23,84
2020-04-24,131
2020-04-25,40
2020-04-26,2
