Date,Total Coronavirus Deaths
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,1
2020-03-06,1
2020-03-07,1
2020-03-08,2
2020-03-09,2
2020-03-10,3
2020-03-11,4
2020-03-12,7
2020-03-13,11
2020-03-14,13
2020-03-15,14
2020-03-16,19
2020-03-17,27
2020-03-18,33
2020-03-19,43
2020-03-20,56
2020-03-21,80
2020-03-22,98
2020-03-23,120
2020-03-24,122
2020-03-25,153
2020-03-26,192
2020-03-27,231
2020-03-28,264
2020-03-29,300
2020-03-30,359
2020-03-31,433
2020-04-01,488
2020-04-02,536
2020-04-03,591
2020-04-04,666
2020-04-05,715
2020-04-06,765
2020-04-07,821
2020-04-08,895
2020-04-09,948
2020-04-10,1002
2020-04-11,1036
2020-04-12,1106
2020-04-13,1138
2020-04-14,1174
2020-04-15,1239
2020-04-16,1281
2020-04-17,1327
2020-04-18,1368
2020-04-19,1393
2020-04-20,1429
2020-04-21,1478
2020-04-22,1509
2020-04-23,1549
2020-04-24,1589
2020-04-25,1599
2020-04-26,1610
2020-04-27,1665
2020-04-28,1699
2020-04-29,1716
2020-04-30,1737
2020-05-01,1754
2020-05-02,1762
2020-05-03,1762
2020-05-04,1784
2020-05-05,1795
2020-05-06,1805
2020-05-07,1810
2020-05-08,1823
2020-05-09,1830
2020-05-10,1833
2020-05-11,1845
2020-05-12,1867
2020-05-13,1870
2020-05-14,1872
2020-05-15,1878
2020-05-16,1879
2020-05-17,1881
2020-05-18,1886
2020-05-19,1891
2020-05-20,1892
2020-05-21,1898
2020-05-22,1903
