Date,Novel Coronavirus Daily Deaths
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,1
2020-03-06,0
2020-03-07,0
2020-03-08,1
2020-03-09,0
2020-03-10,1
2020-03-11,1
2020-03-12,3
2020-03-13,4
2020-03-14,2
2020-03-15,1
2020-03-16,5
2020-03-17,8
2020-03-18,6
2020-03-19,10
2020-03-20,13
2020-03-21,24
2020-03-22,18
2020-03-23,22
2020-03-24,2
2020-03-25,31
2020-03-26,39
2020-03-27,39
2020-03-28,33
2020-03-29,36
2020-03-30,59
2020-03-31,74
2020-04-01,55
2020-04-02,48
2020-04-03,55
2020-04-04,75
2020-04-05,49
2020-04-06,50
2020-04-07,56
2020-04-08,74
2020-04-09,53
2020-04-10,54
2020-04-11,34
2020-04-12,70
2020-04-13,32
2020-04-14,36
2020-04-15,65
2020-04-16,42
2020-04-17,46
2020-04-18,41
2020-04-19,25
2020-04-20,36
2020-04-21,49
2020-04-22,31
2020-04-23,40
2020-04-24,40
2020-04-25,10
2020-04-26,11
