Date,Total Coronavirus Currently Infected
2020-02-15,16
2020-02-16,17
2020-02-17,19
2020-02-18,19
2020-02-19,20
2020-02-20,21
2020-02-21,23
2020-02-22,23
2020-02-23,25
2020-02-24,27
2020-02-25,25
2020-02-26,26
2020-02-27,26
2020-02-28,28
2020-02-29,29
2020-03-01,27
2020-03-02,28
2020-03-03,29
2020-03-04,29
2020-03-05,31
2020-03-06,29
2020-03-07,29
2020-03-08,29
2020-03-09,29
2020-03-10,29
2020-03-11,27
2020-03-12,28
2020-03-13,29
2020-03-14,32
2020-03-15,38
2020-03-16,46
2020-03-17,56
2020-03-18,77
2020-03-19,81
2020-03-20,105
2020-03-21,123
2020-03-22,139
2020-03-23,165
2020-03-24,185
2020-03-25,204
2020-03-26,221
2020-03-27,235
2020-03-28,251
2020-03-29,256
2020-03-30,262
2020-03-31,278
2020-04-01,279
2020-04-02,284
2020-04-03,293
2020-04-04,300
2020-04-05,304
2020-04-06,311
2020-04-07,310
2020-04-08,307
2020-04-09,295
2020-04-10,285
2020-04-11,280
2020-04-12,273
2020-04-13,273
2020-04-14,263
2020-04-15,252
2020-04-16,234
2020-04-17,223
2020-04-18,214
2020-04-19,225
2020-04-20,213
2020-04-21,202
2020-04-22,184
2020-04-23,168
2020-04-24,158
2020-04-25,148
2020-04-26,142
