Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,2.0
2020-02-17,2.0
2020-02-18,0.0
2020-02-19,1.0
2020-02-20,1.0
2020-02-21,2.0
2020-02-22,0.0
2020-02-23,2.0
2020-02-24,2.0
2020-02-25,1.0
2020-02-26,1.0
2020-02-27,0.0
2020-02-28,2.0
2020-02-29,5.0
2020-03-01,1.0
2020-03-02,1.0
2020-03-03,1.0
2020-03-04,0.0
2020-03-05,2.0
2020-03-06,1.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,2.0
2020-03-11,1.0
2020-03-12,1.0
2020-03-13,1.0
2020-03-14,3.0
2020-03-15,6.0
2020-03-16,8.0
2020-03-17,10.0
2020-03-18,23.0
2020-03-19,8.0
2020-03-20,27.0
2020-03-21,18.0
2020-03-22,16.0
2020-03-23,26.0
2020-03-24,21.0
2020-03-25,19.0
2020-03-26,17.0
2020-03-27,15.0
2020-03-28,16.0
2020-03-29,15.0
2020-03-30,8.0
2020-03-31,16.0
2020-04-01,7.0
2020-04-02,10.0
2020-04-03,9.0
2020-04-04,7.0
2020-04-05,8.0
2020-04-06,10.0
2020-04-07,3.0
2020-04-08,3.0
2020-04-09,1.0
2020-04-10,2.0
2020-04-11,3.0
2020-04-12,3.0
2020-04-13,5.0
2020-04-14,0.0
2020-04-15,2.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,3.0
2020-04-19,22.0
2020-04-20,2.0
2020-04-21,3.0
2020-04-22,1.0
2020-04-23,1.0
2020-04-24,1.0
2020-04-25,1.0
2020-04-26,0.0
2020-04-27,0.0
2020-04-28,0.0
2020-04-29,0.0
2020-04-30,0.0
2020-05-01,0.0
2020-05-02,3.0
2020-05-03,0.0
2020-05-04,6.0
2020-05-05,0.0
2020-05-06,1.0
2020-05-07,1.0
2020-05-08,0.0
2020-05-09,0.0
2020-05-10,0.0
2020-05-11,0.0
2020-05-12,0.0
2020-05-13,0.0
2020-05-14,0.0
2020-05-15,0.0
2020-05-16,0.0
2020-05-17,0.0
2020-05-18,0.0
2020-05-19,0.0
2020-05-20,0.0
2020-05-21,1.0
2020-05-22,0.0
2020-05-23,0.0
2020-05-24,0.0
2020-05-25,0.0
2020-05-26,0.0
2020-05-27,0.0
2020-05-28,0.0
2020-05-29,1.0
2020-05-30,0.0
2020-05-31,0.0
2020-06-01,1.0
2020-06-02,0.0
2020-06-03,0.0
2020-06-04,0.0
2020-06-05,0.0
2020-06-06,0.0
2020-06-07,0.0
2020-06-08,0.0
2020-06-09,0.0
2020-06-10,0.0
2020-06-11,0.0
2020-06-12,0.0
2020-06-13,0.0
2020-06-14,0.0
2020-06-15,2.0
2020-06-16,0.0
2020-06-17,0.0
2020-06-18,1.0
2020-06-19,0.0
2020-06-20,0.0
2020-06-21,0.0
2020-06-22,0.0
2020-06-23,0.0
2020-06-24,0.0
2020-06-25,1.0
2020-06-26,0.0
2020-06-27,0.0
