Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,1
2020-03-17,1
2020-03-18,3
2020-03-19,6
2020-03-20,6
2020-03-21,6
2020-03-22,12
2020-03-23,12
2020-03-24,12
2020-03-25,13
2020-03-26,13
2020-03-27,13
2020-03-28,14
2020-03-29,14
2020-03-30,19
2020-03-31,19
2020-04-01,20
2020-04-02,20
2020-04-03,20
2020-04-04,20
2020-04-05,22
2020-04-06,24
2020-04-07,24
2020-04-08,25
2020-04-09,25
2020-04-10,32
2020-04-11,32
2020-04-12,32
2020-04-13,49
2020-04-14,53
2020-04-15,88
2020-04-16,94
2020-04-17,147
2020-04-18,147
2020-04-19,170
2020-04-20,254
2020-04-21,254
2020-04-22,284
2020-04-23,284
2020-04-24,299
2020-04-25,299
2020-04-26,299
2020-04-27,299
2020-04-28,299
2020-04-29,480
2020-04-30,480
2020-05-01,480
2020-05-02,480
2020-05-03,480
2020-05-04,480
2020-05-05,480
2020-05-06,480
2020-05-07,480
2020-05-08,509
2020-05-09,509
2020-05-10,509
2020-05-11,509
2020-05-12,509
2020-05-13,509
2020-05-14,509
2020-05-15,509
2020-05-16,509
2020-05-17,509
2020-05-18,509
2020-05-19,509
2020-05-20,509
2020-05-21,509
2020-05-22,509
2020-05-23,509
2020-05-24,509
2020-05-25,509
2020-05-26,509
2020-05-27,509
2020-05-28,509
2020-05-29,509
2020-05-30,509
2020-05-31,509
2020-06-01,509
2020-06-02,509
2020-06-03,509
2020-06-04,509
2020-06-05,509
2020-06-06,509
2020-06-07,509
2020-06-08,509
2020-06-09,509
2020-06-10,509
2020-06-11,509
2020-06-12,509
2020-06-13,509
2020-06-14,509
2020-06-15,509
2020-06-16,509
2020-06-17,509
2020-06-18,509
2020-06-19,509
2020-06-20,509
2020-06-21,509
2020-06-22,509
2020-06-23,509
2020-06-24,509
2020-06-25,509
2020-06-26,509
2020-06-27,509
