Date,Total Coronavirus Cases
2020-02-15,34
2020-02-16,34
2020-02-17,35
2020-02-18,35
2020-02-19,35
2020-02-20,35
2020-02-21,35
2020-02-22,35
2020-02-23,35
2020-02-24,35
2020-02-25,37
2020-02-26,40
2020-02-27,40
2020-02-28,41
2020-02-29,42
2020-03-01,42
2020-03-02,43
2020-03-03,43
2020-03-04,43
2020-03-05,47
2020-03-06,48
2020-03-07,50
2020-03-08,50
2020-03-09,50
2020-03-10,53
2020-03-11,59
2020-03-12,70
2020-03-13,75
2020-03-14,82
2020-03-15,114
2020-03-16,147
2020-03-17,177
2020-03-18,212
2020-03-19,272
2020-03-20,322
2020-03-21,411
2020-03-22,599
2020-03-23,721
2020-03-24,827
2020-03-25,934
2020-03-26,1045
2020-03-27,1136
2020-03-28,1245
2020-03-29,1388
2020-03-30,1524
2020-03-31,1651
2020-04-01,1771
2020-04-02,1875
2020-04-03,1978
2020-04-04,2067
2020-04-05,2169
2020-04-06,2220
2020-04-07,2258
2020-04-08,2369
2020-04-09,2423
2020-04-10,2473
2020-04-11,2518
2020-04-12,2551
2020-04-13,2579
2020-04-14,2613
2020-04-15,2643
2020-04-16,2672
2020-04-17,2700
2020-04-18,2733
2020-04-19,2765
2020-04-20,2792
2020-04-21,2811
2020-04-22,2826
2020-04-23,2839
2020-04-24,2854
2020-04-25,2907
2020-04-26,2922
2020-04-27,2931
2020-04-28,2938
2020-04-29,2947
2020-04-30,2954
2020-05-01,2960
2020-05-02,2966
2020-05-03,2969
2020-05-04,2987
2020-05-05,2988
2020-05-06,2989
2020-05-07,2992
2020-05-08,3000
2020-05-09,3004
