Date,Total Coronavirus Deaths
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,1
2020-03-02,1
2020-03-03,1
2020-03-04,1
2020-03-05,1
2020-03-06,1
2020-03-07,1
2020-03-08,1
2020-03-09,1
2020-03-10,1
2020-03-11,1
2020-03-12,1
2020-03-13,1
2020-03-14,1
2020-03-15,1
2020-03-16,1
2020-03-17,1
2020-03-18,1
2020-03-19,1
2020-03-20,1
2020-03-21,1
2020-03-22,1
2020-03-23,1
2020-03-24,4
2020-03-25,4
2020-03-26,4
2020-03-27,5
2020-03-28,6
2020-03-29,7
2020-03-30,9
2020-03-31,10
2020-04-01,12
2020-04-02,15
2020-04-03,19
2020-04-04,20
2020-04-05,23
2020-04-06,26
2020-04-07,27
2020-04-08,30
2020-04-09,32
2020-04-10,33
2020-04-11,35
2020-04-12,38
2020-04-13,40
2020-04-14,41
2020-04-15,43
2020-04-16,46
2020-04-17,47
2020-04-18,47
2020-04-19,47
2020-04-20,47
2020-04-21,48
2020-04-22,49
2020-04-23,50
2020-04-24,50
2020-04-25,51
2020-04-26,51
2020-04-27,52
2020-04-28,54
2020-04-29,54
2020-04-30,54
2020-05-01,54
2020-05-02,54
2020-05-03,54
2020-05-04,54
2020-05-05,54
2020-05-06,55
2020-05-07,55
2020-05-08,55
2020-05-09,56
2020-05-10,56
2020-05-11,56
2020-05-12,56
2020-05-13,56
