Date,Percent (%)
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,3.23
2020-03-02,3.23
2020-03-03,3.23
2020-03-04,3.23
2020-03-05,3.13
2020-03-06,3.13
2020-03-07,3.13
2020-03-08,2.94
2020-03-09,2.94
2020-03-10,2.94
2020-03-11,2.86
2020-03-12,2.78
2020-03-13,2.78
2020-03-14,2.78
2020-03-15,2.78
2020-03-16,2.78
2020-03-17,2.38
2020-03-18,2.33
2020-03-19,2.33
2020-03-20,2.33
2020-03-21,2.22
2020-03-22,2.22
2020-03-23,1.89
2020-03-24,7.14
2020-03-25,5.41
2020-03-26,4.35
2020-03-27,4.9
2020-03-28,5.83
2020-03-29,2.97
2020-03-30,3.78
2020-03-31,2.84
2020-04-01,2.32
2020-04-02,2.88
2020-04-03,3.01
2020-04-04,2.88
2020-04-05,2.82
2020-04-06,3.17
2020-04-07,2.95
2020-04-08,3.27
2020-04-09,3.29
2020-04-10,3.15
2020-04-11,2.99
2020-04-12,3.03
2020-04-13,3.01
2020-04-14,2.84
2020-04-15,2.79
2020-04-16,2.81
2020-04-17,2.71
2020-04-18,2.56
2020-04-19,2.38
2020-04-20,2.3
2020-04-21,2.23
2020-04-22,2.04
2020-04-23,2.02
2020-04-24,1.97
2020-04-25,1.96
2020-04-26,1.93
2020-04-27,1.95
2020-04-28,2.0
2020-04-29,1.99
2020-04-30,1.97
2020-05-01,1.95
2020-05-02,1.94
2020-05-03,1.93
2020-05-04,1.93
2020-05-05,1.93
2020-05-06,1.95
2020-05-07,1.95
2020-05-08,1.94
2020-05-09,1.97
