Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,1
2020-03-13,1
2020-03-14,2
2020-03-15,2
2020-03-16,4
2020-03-17,5
2020-03-18,7
2020-03-19,9
2020-03-20,9
2020-03-21,49
2020-03-22,50
2020-03-23,51
2020-03-24,57
2020-03-25,60
2020-03-26,65
2020-03-27,66
2020-03-28,76
2020-03-29,78
2020-03-30,83
2020-03-31,87
2020-04-01,90
2020-04-02,94
2020-04-03,98
2020-04-04,103
2020-04-05,104
2020-04-06,105
2020-04-07,107
2020-04-08,107
2020-04-09,109
2020-04-10,109
2020-04-11,112
2020-04-12,113
2020-04-13,113
2020-04-14,113
2020-04-15,114
2020-04-16,114
2020-04-17,114
2020-04-18,114
2020-04-19,114
2020-04-20,114
2020-04-21,115
2020-04-22,115
2020-04-23,115
2020-04-24,115
2020-04-25,115
2020-04-26,115
2020-04-27,116
2020-04-28,116
2020-04-29,116
2020-04-30,116
2020-05-01,116
2020-05-02,116
2020-05-03,116
2020-05-04,116
2020-05-05,116
2020-05-06,116
2020-05-07,116
2020-05-08,116
2020-05-09,116
2020-05-10,116
2020-05-11,116
2020-05-12,116
2020-05-13,116
2020-05-14,116
2020-05-15,116
2020-05-16,116
2020-05-17,116
2020-05-18,116
2020-05-19,116
2020-05-20,116
2020-05-21,116
2020-05-22,116
2020-05-23,116
2020-05-24,116
2020-05-25,116
2020-05-26,116
2020-05-27,116
2020-05-28,116
2020-05-29,116
2020-05-30,116
2020-05-31,117
2020-06-01,117
2020-06-02,117
2020-06-03,117
2020-06-04,117
2020-06-05,117
2020-06-06,117
2020-06-07,117
2020-06-08,117
2020-06-09,117
2020-06-10,117
2020-06-11,117
2020-06-12,117
2020-06-13,117
2020-06-14,123
2020-06-15,123
2020-06-16,123
2020-06-17,123
2020-06-18,123
2020-06-19,123
2020-06-20,123
2020-06-21,123
2020-06-22,123
2020-06-23,123
2020-06-24,123
2020-06-25,123
2020-06-26,124
2020-06-27,126
