Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,1.0
2020-03-09,3.0
2020-03-10,1.0
2020-03-11,1.0
2020-03-12,6.0
2020-03-13,3.0
2020-03-14,2.0
2020-03-15,2.0
2020-03-16,4.0
2020-03-17,3.0
2020-03-18,2.0
2020-03-19,10.0
2020-03-20,15.0
2020-03-21,6.0
2020-03-22,15.0
2020-03-23,14.0
2020-03-24,25.0
2020-03-25,59.0
2020-03-26,24.0
2020-03-27,30.0
2020-03-28,51.0
2020-03-29,34.0
2020-03-30,50.0
2020-03-31,32.0
2020-04-01,29.0
2020-04-02,32.0
2020-04-03,40.0
2020-04-04,58.0
2020-04-05,21.0
2020-04-06,22.0
2020-04-07,27.0
2020-04-08,5.0
2020-04-09,15.0
2020-04-10,28.0
2020-04-11,14.0
2020-04-12,22.0
2020-04-13,19.0
2020-04-14,21.0
2020-04-15,33.0
2020-04-16,42.0
2020-04-17,42.0
2020-04-18,2.0
2020-04-19,13.0
2020-04-20,5.0
2020-04-21,17.0
2020-04-22,8.0
2020-04-23,9.0
2020-04-24,4.0
2020-04-25,17.0
2020-04-26,10.0
2020-04-27,18.0
2020-04-28,8.0
2020-04-29,5.0
2020-04-30,14.0
2020-05-01,4.0
2020-05-02,11.0
2020-05-03,4.0
2020-05-04,5.0
2020-05-05,4.0
2020-05-06,3.0
2020-05-07,1.0
2020-05-08,4.0
2020-05-09,2.0
2020-05-10,0.0
2020-05-11,0.0
2020-05-12,0.0
2020-05-13,0.0
2020-05-14,0.0
2020-05-15,3.0
2020-05-16,2.0
2020-05-17,0.0
2020-05-18,6.0
2020-05-19,0.0
2020-05-20,2.0
2020-05-21,1.0
2020-05-22,2.0
2020-05-23,0.0
2020-05-24,0.0
2020-05-25,3.0
2020-05-26,0.0
2020-05-27,0.0
2020-05-28,17.0
2020-05-29,3.0
2020-05-30,5.0
2020-05-31,1.0
2020-06-01,7.0
2020-06-02,2.0
2020-06-03,1.0
2020-06-04,0.0
2020-06-05,0.0
2020-06-06,0.0
2020-06-07,0.0
2020-06-08,0.0
2020-06-09,0.0
2020-06-10,0.0
2020-06-11,0.0
2020-06-12,6.0
2020-06-13,1.0
2020-06-14,2.0
2020-06-15,14.0
2020-06-16,15.0
2020-06-17,3.0
2020-06-18,4.0
2020-06-19,14.0
2020-06-20,10.0
2020-06-21,1.0
2020-06-22,2.0
2020-06-23,0.0
2020-06-24,1.0
2020-06-25,2.0
2020-06-26,2.0
2020-06-27,4.0
