Date,Total Coronavirus Cases
2020-02-15,9
2020-02-16,9
2020-02-17,9
2020-02-18,9
2020-02-19,9
2020-02-20,9
2020-02-21,9
2020-02-22,9
2020-02-23,13
2020-02-24,13
2020-02-25,13
2020-02-26,13
2020-02-27,16
2020-02-28,20
2020-02-29,23
2020-03-01,36
2020-03-02,39
2020-03-03,51
2020-03-04,87
2020-03-05,116
2020-03-06,164
2020-03-07,209
2020-03-08,278
2020-03-09,321
2020-03-10,383
2020-03-11,460
2020-03-12,590
2020-03-13,798
2020-03-14,1140
2020-03-15,1391
2020-03-16,1543
2020-03-17,1950
2020-03-18,2626
2020-03-19,3269
2020-03-20,3983
2020-03-21,5018
2020-03-22,5683
2020-03-23,6650
2020-03-24,8077
2020-03-25,9529
2020-03-26,11658
2020-03-27,14543
2020-03-28,17089
2020-03-29,19522
2020-03-30,22141
2020-03-31,25150
2020-04-01,29474
2020-04-02,33718
2020-04-03,38168
2020-04-04,41903
2020-04-05,47806
2020-04-06,51608
2020-04-07,55242
2020-04-08,60733
2020-04-09,65077
2020-04-10,73758
2020-04-11,78991
2020-04-12,84279
2020-04-13,88621
2020-04-14,93873
2020-04-15,98476
2020-04-16,103093
2020-04-17,108692
2020-04-18,114217
2020-04-19,120067
2020-04-20,124743
2020-04-21,129044
2020-04-22,133495
2020-04-23,138078
2020-04-24,143464
2020-04-25,148377
2020-04-26,152840
2020-04-27,157149
2020-04-28,161145
2020-04-29,165221
2020-04-30,171253
2020-05-01,177454
2020-05-02,182260
2020-05-03,186599
2020-05-04,190584
2020-05-05,194990
2020-05-06,201101
2020-05-07,206715
2020-05-08,211364
2020-05-09,215260
2020-05-10,219183
2020-05-11,223060
2020-05-12,226463
2020-05-13,229705
2020-05-14,233151
2020-05-15,236711
2020-05-16,240161
2020-05-17,243695
2020-05-18,246406
2020-05-19,248818
2020-05-20,250332
2020-05-21,252947
2020-05-22,256234
2020-05-23,259193
2020-05-24,261598
2020-05-25,263223
2020-05-26,265227
2020-05-27,267240
2020-05-28,269127
2020-05-29,271222
2020-05-30,272826
2020-05-31,274762
2020-06-01,276332
2020-06-02,277985
2020-06-03,279856
2020-06-04,281661
2020-06-05,283311
2020-06-06,284868
2020-06-07,286194
2020-06-08,287399
2020-06-09,289140
2020-06-10,290143
2020-06-11,291409
2020-06-12,292950
2020-06-13,294375
2020-06-14,295889
2020-06-15,296857
2020-06-16,298136
2020-06-17,299251
2020-06-18,300469
2020-06-19,301815
2020-06-20,303110
2020-06-21,304331
2020-06-22,305289
2020-06-23,306210
2020-06-24,306862
2020-06-25,307980
2020-06-26,309360
2020-06-27,310250
