Date,Total Coronavirus Deaths
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,1
2020-03-06,1
2020-03-07,1
2020-03-08,2
2020-03-09,3
2020-03-10,7
2020-03-11,7
2020-03-12,9
2020-03-13,10
2020-03-14,28
2020-03-15,43
2020-03-16,65
2020-03-17,81
2020-03-18,115
2020-03-19,158
2020-03-20,194
2020-03-21,250
2020-03-22,285
2020-03-23,359
2020-03-24,508
2020-03-25,694
2020-03-26,877
2020-03-27,1161
2020-03-28,1455
2020-03-29,1669
2020-03-30,2043
2020-03-31,2425
2020-04-01,3095
2020-04-02,3747
2020-04-03,4461
2020-04-04,5221
2020-04-05,5865
2020-04-06,6433
2020-04-07,7471
2020-04-08,8505
2020-04-09,9608
2020-04-10,10760
2020-04-11,11599
2020-04-12,12285
2020-04-13,13029
2020-04-14,14073
2020-04-15,14915
2020-04-16,15944
2020-04-17,16879
2020-04-18,17994
2020-04-19,18492
2020-04-20,19051
2020-04-21,20223
2020-04-22,21060
2020-04-23,21787
2020-04-24,22792
2020-04-25,23635
2020-04-26,24055
2020-04-27,24393
2020-04-28,25302
2020-04-29,26097
2020-04-30,26771
2020-05-01,27510
2020-05-02,28131
2020-05-03,28446
2020-05-04,28734
2020-05-05,29427
2020-05-06,30076
2020-05-07,30615
2020-05-08,31241
2020-05-09,31587
2020-05-10,31855
2020-05-11,32065
2020-05-12,32692
2020-05-13,33186
