Date,Total Coronavirus Currently Infected
2020-02-15,1
2020-02-16,1
2020-02-17,1
2020-02-18,1
2020-02-19,1
2020-02-20,1
2020-02-21,1
2020-02-22,1
2020-02-23,5
2020-02-24,5
2020-02-25,5
2020-02-26,5
2020-02-27,8
2020-02-28,12
2020-02-29,15
2020-03-01,28
2020-03-02,31
2020-03-03,43
2020-03-04,79
2020-03-05,97
2020-03-06,145
2020-03-07,190
2020-03-08,258
2020-03-09,300
2020-03-10,358
2020-03-11,435
2020-03-12,563
2020-03-13,770
2020-03-14,1094
2020-03-15,1328
2020-03-16,1426
2020-03-17,1804
2020-03-18,2446
2020-03-19,3046
2020-03-20,3724
2020-03-21,4675
2020-03-22,5305
2020-03-23,6156
2020-03-24,7434
2020-03-25,8700
2020-03-26,10646
2020-03-27,13247
2020-03-28,15499
2020-03-29,17718
2020-03-30,19963
2020-03-31,22590
2020-04-01,26244
2020-04-02,29836
2020-04-03,33572
2020-04-04,36547
2020-04-05,41806
2020-04-06,45040
2020-04-07,47636
2020-04-08,52093
2020-04-09,55334
2020-04-10,62654
2020-04-11,67048
2020-04-12,71650
2020-04-13,75248
2020-04-14,79456
2020-04-15,83217
2020-04-16,86805
2020-04-17,91469
2020-04-18,95879
2020-04-19,101231
2020-04-20,105348
2020-04-21,108477
2020-04-22,112091
2020-04-23,115947
2020-04-24,120328
2020-04-25,124398
2020-04-26,128441
2020-04-27,132412
2020-04-28,135499
2020-04-29,138780
2020-04-30,144138
2020-05-01,149600
2020-05-02,153785
2020-05-03,157809
2020-05-04,161506
2020-05-05,165219
2020-05-06,170681
2020-05-07,175756
2020-05-08,179779
2020-05-09,183329
