Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,1
2020-03-04,1
2020-03-05,1
2020-03-06,1
2020-03-07,1
2020-03-08,1
2020-03-09,1
2020-03-10,1
2020-03-11,1
2020-03-12,3
2020-03-13,3
2020-03-14,3
2020-03-15,3
2020-03-16,7
2020-03-17,14
2020-03-18,16
2020-03-19,26
2020-03-20,41
2020-03-21,47
2020-03-22,73
2020-03-23,73
2020-03-24,102
2020-03-25,145
2020-03-26,196
2020-03-27,310
2020-03-28,356
2020-03-29,475
2020-03-30,548
2020-03-31,645
2020-04-01,794
2020-04-02,897
2020-04-03,1072
2020-04-04,1225
2020-04-05,1308
2020-04-06,1319
2020-04-07,1462
2020-04-08,1668
2020-04-09,1892
2020-04-10,2203
2020-04-11,2511
2020-04-12,2777
2020-04-13,3102
2020-04-14,3372
2020-04-15,3764
2020-04-16,4161
2020-04-17,4662
2020-04-18,5106
2020-04-19,5449
2020-04-20,5710
2020-04-21,6125
2020-04-22,6592
2020-04-23,7170
2020-04-24,7647
2020-04-25,8125
2020-04-26,8617
