Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,2.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,4.0
2020-03-17,7.0
2020-03-18,2.0
2020-03-19,10.0
2020-03-20,15.0
2020-03-21,6.0
2020-03-22,26.0
2020-03-23,0.0
2020-03-24,29.0
2020-03-25,43.0
2020-03-26,51.0
2020-03-27,114.0
2020-03-28,46.0
2020-03-29,119.0
2020-03-30,73.0
2020-03-31,97.0
2020-04-01,149.0
2020-04-02,103.0
2020-04-03,175.0
2020-04-04,153.0
2020-04-05,83.0
2020-04-06,11.0
2020-04-07,143.0
2020-04-08,206.0
2020-04-09,224.0
2020-04-10,311.0
2020-04-11,308.0
2020-04-12,266.0
2020-04-13,325.0
2020-04-14,270.0
2020-04-15,392.0
2020-04-16,397.0
2020-04-17,501.0
2020-04-18,444.0
2020-04-19,343.0
2020-04-20,261.0
2020-04-21,415.0
2020-04-22,467.0
2020-04-23,578.0
2020-04-24,477.0
2020-04-25,478.0
2020-04-26,492.0
