Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,1.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,2.0
2020-02-22,2.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,6.0
2020-02-28,0.0
2020-02-29,2.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,6.0
2020-03-04,1.0
2020-03-05,0.0
2020-03-06,17.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,14.0
2020-03-10,15.0
2020-03-11,0.0
2020-03-12,11.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,13.0
2020-03-16,0.0
2020-03-17,15.0
2020-03-18,0.0
2020-03-19,27.0
2020-03-20,0.0
2020-03-21,13.0
2020-03-22,0.0
2020-03-23,45.0
2020-03-24,50.0
2020-03-25,85.0
2020-03-26,0.0
2020-03-27,72.0
2020-03-28,63.0
2020-03-29,102.0
2020-03-30,41.0
2020-03-31,53.0
2020-04-01,150.0
2020-04-02,210.0
2020-04-03,240.0
2020-04-04,241.0
2020-04-05,294.0
2020-04-06,277.0
2020-04-07,283.0
2020-04-08,300.0
2020-04-09,331.0
2020-04-10,370.0
2020-04-11,376.0
2020-04-12,387.0
2020-04-13,398.0
2020-04-14,412.0
2020-04-15,432.0
2020-04-16,460.0
2020-04-17,477.0
2020-04-18,0.0
2020-04-19,479.0
2020-04-20,484.0
2020-04-21,490.0
2020-04-22,483.0
2020-04-23,518.0
2020-04-24,525.0
2020-04-25,532.0
2020-04-26,536.0
2020-04-27,490.0
2020-04-28,541.0
2020-04-29,549.0
2020-04-30,552.0
2020-05-01,557.0
2020-05-02,561.0
2020-05-03,564.0
2020-05-04,567.0
2020-05-05,462.0
2020-05-06,546.0
2020-05-07,502.0
2020-05-08,553.0
2020-05-09,624.0
