Date,Total Coronavirus Cases
2020-02-15,15
2020-02-16,15
2020-02-17,15
2020-02-18,15
2020-02-19,15
2020-02-20,15
2020-02-21,35
2020-02-22,35
2020-02-23,35
2020-02-24,53
2020-02-25,57
2020-02-26,60
2020-02-27,60
2020-02-28,63
2020-02-29,68
2020-03-01,75
2020-03-02,100
2020-03-03,124
2020-03-04,158
2020-03-05,221
2020-03-06,319
2020-03-07,435
2020-03-08,541
2020-03-09,704
2020-03-10,994
2020-03-11,1301
2020-03-12,1630
2020-03-13,2184
2020-03-14,2773
2020-03-15,3621
2020-03-16,4609
2020-03-17,6363
2020-03-18,9328
2020-03-19,13927
2020-03-20,19598
2020-03-21,24485
2020-03-22,33928
2020-03-23,44302
2020-03-24,55550
2020-03-25,69100
2020-03-26,86621
2020-03-27,105527
2020-03-28,125182
2020-03-29,145445
2020-03-30,168728
2020-03-31,193999
2020-04-01,221086
2020-04-02,251622
2020-04-03,284556
2020-04-04,319198
2020-04-05,345077
2020-04-06,376805
2020-04-07,410830
2020-04-08,443290
2020-04-09,477334
2020-04-10,511531
2020-04-11,541971
2020-04-12,569792
2020-04-13,596861
2020-04-14,624237
2020-04-15,654848
2020-04-16,684930
2020-04-17,717362
2020-04-18,746506
2020-04-19,772673
2020-04-20,800853
2020-04-21,827019
2020-04-22,857260
2020-04-23,889261
2020-04-24,928333
2020-04-25,963800
2020-04-26,990358
2020-04-27,1013591
2020-04-28,1039089
2020-04-29,1067614
2020-04-30,1098526
2020-05-01,1134616
2020-05-02,1164432
2020-05-03,1191826
2020-05-04,1216556
2020-05-05,1241392
2020-05-06,1266907
2020-05-07,1296488
2020-05-08,1325732
2020-05-09,1351922
2020-05-10,1372703
2020-05-11,1391384
2020-05-12,1414346
2020-05-13,1436690
2020-05-14,1464725
2020-05-15,1492295
2020-05-16,1516590
2020-05-17,1536758
2020-05-18,1560268
2020-05-19,1581030
2020-05-20,1603656
2020-05-21,1632460
2020-05-22,1657079
2020-05-23,1678981
2020-05-24,1698879
2020-05-25,1718776
2020-05-26,1738149
2020-05-27,1758868
2020-05-28,1781923
2020-05-29,1807579
2020-05-30,1831305
2020-05-31,1852029
2020-06-01,1874440
2020-06-02,1896698
2020-06-03,1917496
2020-06-04,1940315
2020-06-05,1965708
2020-06-06,1988544
2020-06-07,2007449
2020-06-08,2026493
2020-06-09,2045549
2020-06-10,2066558
2020-06-11,2090015
2020-06-12,2117393
2020-06-13,2142852
2020-06-14,2163013
2020-06-15,2183892
2020-06-16,2209499
2020-06-17,2235727
2020-06-18,2263651
2020-06-19,2297190
2020-06-20,2330578
2020-06-21,2356657
