Date,Total Coronavirus Deaths
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,1
2020-03-01,1
2020-03-02,6
2020-03-03,9
2020-03-04,11
2020-03-05,12
2020-03-06,15
2020-03-07,19
2020-03-08,22
2020-03-09,26
2020-03-10,30
2020-03-11,38
2020-03-12,41
2020-03-13,48
2020-03-14,58
2020-03-15,73
2020-03-16,95
2020-03-17,121
2020-03-18,171
2020-03-19,239
2020-03-20,309
2020-03-21,374
2020-03-22,509
2020-03-23,689
2020-03-24,957
2020-03-25,1261
2020-03-26,1616
2020-03-27,2113
2020-03-28,2758
2020-03-29,3256
2020-03-30,4073
2020-03-31,5161
2020-04-01,6407
2020-04-02,7592
2020-04-03,8858
2020-04-04,10406
2020-04-05,11818
2020-04-06,13328
2020-04-07,15561
2020-04-08,17731
2020-04-09,19847
2020-04-10,22092
2020-04-11,24121
2020-04-12,25852
2020-04-13,27583
2020-04-14,30156
2020-04-15,32794
2020-04-16,34994
2020-04-17,37543
2020-04-18,39429
2020-04-19,41003
2020-04-20,42958
2020-04-21,45651
2020-04-22,48014
2020-04-23,50361
2020-04-24,52323
2020-04-25,54396
2020-04-26,55554
2020-04-27,56941
2020-04-28,59418
2020-04-29,61812
2020-04-30,64018
2020-05-01,65918
2020-05-02,67616
2020-05-03,68770
2020-05-04,70098
2020-05-05,72450
2020-05-06,74981
2020-05-07,77114
2020-05-08,78803
2020-05-09,80232
2020-05-10,80983
2020-05-11,82044
2020-05-12,83920
2020-05-13,85744
2020-05-14,87500
2020-05-15,89104
2020-05-16,90324
2020-05-17,91189
2020-05-18,92193
2020-05-19,93750
2020-05-20,95155
2020-05-21,96569
2020-05-22,97868
2020-05-23,98904
2020-05-24,99519
2020-05-25,100025
2020-05-26,100800
2020-05-27,102338
2020-05-28,103563
2020-05-29,104776
2020-05-30,105793
2020-05-31,106432
2020-06-01,107163
2020-06-02,108299
2020-06-03,109383
2020-06-04,110415
2020-06-05,111390
2020-06-06,112096
2020-06-07,112469
2020-06-08,113055
2020-06-09,114148
2020-06-10,115130
2020-06-11,116034
2020-06-12,116825
2020-06-13,117527
2020-06-14,117858
2020-06-15,118283
2020-06-16,119132
2020-06-17,119941
2020-06-18,120688
2020-06-19,121407
2020-06-20,121980
2020-06-21,122247
