Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,4
2020-03-16,8
2020-03-17,11
2020-03-18,18
2020-03-19,23
2020-03-20,33
2020-03-21,41
2020-03-22,43
2020-03-23,46
2020-03-24,50
2020-03-25,60
2020-03-26,75
2020-03-27,82
2020-03-28,97
2020-03-29,135
2020-03-30,140
2020-03-31,163
2020-04-01,167
2020-04-02,178
2020-04-03,200
2020-04-04,239
2020-04-05,310
2020-04-06,425
2020-04-07,488
2020-04-08,512
2020-04-09,541
2020-04-10,579
2020-04-11,721
2020-04-12,795
2020-04-13,909
2020-04-14,1062
2020-04-15,1191
2020-04-16,1216
2020-04-17,1245
2020-04-18,1291
2020-04-19,1335
2020-04-20,1361
2020-04-21,1315
2020-04-22,1259
2020-04-23,1190
2020-04-24,1175
2020-04-25,1147
2020-04-26,1072
2020-04-27,1004
2020-04-28,939
2020-04-29,897
2020-04-30,897
2020-05-01,865
2020-05-02,838
2020-05-03,820
2020-05-04,774
2020-05-05,696
2020-05-06,646
2020-05-07,632
2020-05-08,540
2020-05-09,493
2020-05-10,527
2020-05-11,488
2020-05-12,499
2020-05-13,525
2020-05-14,498
2020-05-15,517
2020-05-16,514
2020-05-17,494
2020-05-18,464
2020-05-19,504
2020-05-20,554
2020-05-21,544
2020-05-22,523
