Date,Total Coronavirus Cases
2020-02-15,16
2020-02-16,16
2020-02-17,16
2020-02-18,16
2020-02-19,16
2020-02-20,16
2020-02-21,16
2020-02-22,16
2020-02-23,16
2020-02-24,16
2020-02-25,16
2020-02-26,16
2020-02-27,16
2020-02-28,16
2020-02-29,16
2020-03-01,16
2020-03-02,16
2020-03-03,16
2020-03-04,16
2020-03-05,16
2020-03-06,17
2020-03-07,20
2020-03-08,30
2020-03-09,31
2020-03-10,34
2020-03-11,39
2020-03-12,44
2020-03-13,44
2020-03-14,53
2020-03-15,57
2020-03-16,61
2020-03-17,66
2020-03-18,76
2020-03-19,85
2020-03-20,91
2020-03-21,94
2020-03-22,113
2020-03-23,123
2020-03-24,134
2020-03-25,148
2020-03-26,153
2020-03-27,163
2020-03-28,174
2020-03-29,194
2020-03-30,204
2020-03-31,212
2020-04-01,218
2020-04-02,233
2020-04-03,239
2020-04-04,240
2020-04-05,241
2020-04-06,245
2020-04-07,251
2020-04-08,251
2020-04-09,255
2020-04-10,257
2020-04-11,258
2020-04-12,262
2020-04-13,265
2020-04-14,266
2020-04-15,268
2020-04-16,268
2020-04-17,268
2020-04-18,268
2020-04-19,268
2020-04-20,268
2020-04-21,268
2020-04-22,268
2020-04-23,268
2020-04-24,270
2020-04-25,270
2020-04-26,270
2020-04-27,270
2020-04-28,270
2020-04-29,270
2020-04-30,270
2020-05-01,270
2020-05-02,270
2020-05-03,271
2020-05-04,271
2020-05-05,271
2020-05-06,271
2020-05-07,288
2020-05-08,288
2020-05-09,288
2020-05-10,288
2020-05-11,288
2020-05-12,288
2020-05-13,288
2020-05-14,312
2020-05-15,314
2020-05-16,318
2020-05-17,320
2020-05-18,324
2020-05-19,324
2020-05-20,324
2020-05-21,324
2020-05-22,324
2020-05-23,324
2020-05-24,325
2020-05-25,326
2020-05-26,327
2020-05-27,327
2020-05-28,327
2020-05-29,327
2020-05-30,328
2020-05-31,328
2020-06-01,328
2020-06-02,328
2020-06-03,328
2020-06-04,328
2020-06-05,328
2020-06-06,329
2020-06-07,329
2020-06-08,332
2020-06-09,332
2020-06-10,332
2020-06-11,332
2020-06-12,333
2020-06-13,334
2020-06-14,334
2020-06-15,334
2020-06-16,334
2020-06-17,335
2020-06-18,342
2020-06-19,349
2020-06-20,349
2020-06-21,349
