Date,Total Coronavirus Currently Infected
2020-02-15,9
2020-02-16,9
2020-02-17,9
2020-02-18,9
2020-02-19,2
2020-02-20,2
2020-02-21,1
2020-02-22,1
2020-02-23,1
2020-02-24,1
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,1
2020-03-07,4
2020-03-08,14
2020-03-09,15
2020-03-10,18
2020-03-11,23
2020-03-12,28
2020-03-13,28
2020-03-14,37
2020-03-15,41
2020-03-16,45
2020-03-17,50
2020-03-18,60
2020-03-19,69
2020-03-20,74
2020-03-21,77
2020-03-22,96
2020-03-23,106
2020-03-24,117
2020-03-25,131
2020-03-26,133
2020-03-27,143
2020-03-28,153
2020-03-29,169
2020-03-30,149
2020-03-31,154
2020-04-01,155
2020-04-02,158
2020-04-03,154
2020-04-04,150
2020-04-05,151
2020-04-06,150
2020-04-07,128
2020-04-08,125
2020-04-09,127
2020-04-10,113
2020-04-11,114
2020-04-12,118
2020-04-13,119
2020-04-14,97
2020-04-15,97
2020-04-16,91
2020-04-17,70
2020-04-18,67
2020-04-19,66
2020-04-20,54
2020-04-21,52
2020-04-22,45
2020-04-23,44
2020-04-24,50
2020-04-25,45
2020-04-26,45
2020-04-27,45
2020-04-28,45
2020-04-29,48
2020-04-30,51
2020-05-01,51
2020-05-02,51
2020-05-03,52
2020-05-04,52
2020-05-05,39
2020-05-06,39
2020-05-07,55
2020-05-08,47
2020-05-09,47
2020-05-10,47
2020-05-11,39
2020-05-12,36
2020-05-13,36
2020-05-14,52
2020-05-15,54
2020-05-16,58
2020-05-17,60
2020-05-18,61
2020-05-19,61
2020-05-20,61
2020-05-21,60
2020-05-22,57
2020-05-23,57
2020-05-24,58
2020-05-25,54
2020-05-26,55
2020-05-27,49
2020-05-28,49
2020-05-29,48
2020-05-30,49
2020-05-31,49
2020-06-01,35
2020-06-02,30
2020-06-03,26
2020-06-04,26
2020-06-05,21
2020-06-06,22
2020-06-07,22
2020-06-08,16
2020-06-09,16
2020-06-10,12
2020-06-11,11
2020-06-12,10
2020-06-13,11
2020-06-14,11
2020-06-15,11
2020-06-16,9
2020-06-17,10
2020-06-18,17
2020-06-19,23
2020-06-20,22
2020-06-21,22
