Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,1
2020-04-11,1
2020-04-12,1
2020-04-13,1
2020-04-14,1
2020-04-15,1
2020-04-16,1
2020-04-17,1
2020-04-18,1
2020-04-19,1
2020-04-20,1
2020-04-21,1
2020-04-22,1
2020-04-23,1
2020-04-24,1
2020-04-25,1
2020-04-26,1
2020-04-27,1
2020-04-28,1
2020-04-29,6
2020-04-30,6
2020-05-01,7
2020-05-02,10
2020-05-03,10
2020-05-04,12
2020-05-05,22
2020-05-06,25
2020-05-07,25
2020-05-08,34
2020-05-09,34
2020-05-10,51
2020-05-11,56
2020-05-12,65
2020-05-13,70
2020-05-14,85
2020-05-15,106
2020-05-16,122
2020-05-17,128
2020-05-18,130
2020-05-19,167
2020-05-20,184
2020-05-21,197
2020-05-22,209
2020-05-23,212
2020-05-24,222
2020-05-25,233
2020-05-26,249
2020-05-27,256
2020-05-28,278
2020-05-29,283
2020-05-30,310
2020-05-31,323
2020-06-01,354
2020-06-02,399
2020-06-03,419
2020-06-04,453
2020-06-05,469
2020-06-06,482
2020-06-07,484
2020-06-08,496
2020-06-09,524
2020-06-10,560
2020-06-11,591
2020-06-12,632
2020-06-13,705
2020-06-14,728
2020-06-15,844
2020-06-16,885
2020-06-17,902
2020-06-18,909
2020-06-19,919
2020-06-20,922
2020-06-21,941
